z,r,Q_total,RMS
cm,cm,kW/m2,kW/m2
1,207.5,0.95,0.04
41,300,0.53,0.02
41,325,0.45,0.02
41,350,0.36,0.02
41,400,0.25,0.02
41,450,0.18,0.01
41,500,0.14,0.01
46,207.5,1.10,0.11
61,300,0.54,0.02
61,325,0.46,0.02
61,350,0.38,0.02
61,400,0.25,0.02
61,450,0.19,0.01
61,500,0.14,0.02
81,300,0.53,0.03
81,325,0.46,0.03
81,350,0.38,0.03
81,400,0.25,0.03
81,450,0.19,0.03
81,500,0.15,0.03
91,207.5,1.07,1.17
136,207.5,0.99,0.13
180.5,207.5,0.82,0.11
