z,r,Vz,StandDev
cm,cm,m/s,m/s
4,0,0.51,0.25
6,0,0.93,0.27
10,0,1.62,0.24
14,0,2.12,0.24
20,0,2.61,0.31
24,0,2.78,0.37
30,0,2.87,0.42
40,0,2.99,0.51
45,0,2.99,0.52
60,0,2.81,0.48
75,0,2.70,0.44
100,0,2.42,0.55
