z,r,Vz,StandDev
cm,cm,m/s,m/s
2,0,0.41,0.13
6,0,0.79,0.2
10,0,1.55,0.33
14,0,1.99,0.31
20,0,2.57,0.28
30,0,2.92,0.46
32,0,3.1,0.44
34,0,3.15,0.44
36,0,3.24,0.46
40,0,3.29,0.52
44,0,3.45,0.54
45,0,3.43,0.52
50,0,3.48,0.59
60,0,3.47,0.63
75,0,3.21,0.7
90,0,3.2,0.59
105,0,2.81,0.56
130,0,2.67,0.52
