r (cm),T (K),RMS
-4,559.2,179.0
-2,622.2,197.0
0,631.2,186.0
2,604.2,170.0
4,574.2,174.0
6,542.2,163.0
8,496.2,147.0
10,458.2,136.0
12,473.2,146.0
14,414.2,119.0
16,407.2,120.0
