z_cm,r_cm,q_kW/m2,q_RMS_kW/m2
61,300,0.54,0.02
61,325,0.46,0.02
61,350,0.38,0.02
61,400,0.25,0.02
61,450,0.19,0.01
61,500,0.14,0.02
