r,z,Q_total,RMS
cm,cm,kW/m2,kW/m2
16.1,1,3.33,0.56
19,1,2.4,0.37
21.9,1,2.05,0.25
23,1,2.05,0.11
30,1,1.19,0.07
38.8,1,0.72,0.04
47.2,1,0.47,0.03
56.5,1,0.32,0.02
66.2,1,0.24,0.01
75.7,1,0.18,0.01
150,1,0.04,0.01
