r,z,q,Uc_q
cm,cm,kW/m2,kW/m2
52.5,1,5.1,1.0
57.7,1,4.1,0.32
71.5,1,2.6,0.91
117,1,1.0,0.60
167.2,1,0.35,0.16
207.2,1,0.20,0.050
