Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K,Corrected_Temperature_K,U_Corrected_Temperature_K
2,0.05140,0.00270,0.03310,0.00220,0.16940,0.03400,0.00540,0.00070,0.02010,0.00750,0.00000,0.00000,0.00000,0.00000,0.48120,0.04620,0.14785,0.07030,0.00673,0.00042,0.00000,0.00000,0.05399,0.00381,0.01890,0.00340,0.00024,0.00010,0.00042,0.00003,0.00720,0.00100,0.00042,0.00008,0.21445,0.07042,839,185,845,345
4,0.05480,0.00570,0.03810,0.00760,0.18090,0.05170,0.00610,0.00070,0.02290,0.01830,0.00000,0.00000,0.00000,0.00000,0.54280,0.04980,0.05696,0.02314,0.00939,0.00267,0.00000,0.00000,0.05824,0.01245,0.01740,0.00470,0.00026,0.00003,0.00035,0.00011,0.00730,0.00200,0.00061,0.00011,0.12976,0.02502,1042,188,1054,326
6,0.05860,0.00370,0.03410,0.00250,0.16920,0.05450,0.00660,0.00060,0.02670,0.00180,0.00000,0.00000,0.00000,0.00000,0.58560,0.03570,0.02557,0.00510,0.00917,0.00097,0.00000,0.00000,0.05746,0.00357,0.01610,0.00170,0.00024,0.00005,0.00031,0.00003,0.00660,0.00050,0.00089,0.00013,0.09203,0.00605,1162,181,1179,304
10,0.05670,0.00270,0.02340,0.00600,0.15690,0.03130,0.00730,0.00070,0.04340,0.01390,0.00000,0.00000,0.00000,0.00000,0.63730,0.04580,0.00654,0.00150,0.00630,0.00108,0.00000,0.00000,0.04377,0.00749,0.00980,0.00070,0.00020,0.00004,0.00020,0.00003,0.00430,0.00080,0.00100,0.00010,0.05071,0.00634,1249,169,1271,287
14,0.04990,0.00780,0.01950,0.01550,0.12460,0.02850,0.00770,0.00070,0.06170,0.04160,0.00000,0.00000,0.00000,0.00000,0.67940,0.04430,0.00344,0.00436,0.00473,0.00362,0.00000,0.00000,0.03545,0.02379,0.00620,0.00350,0.00009,0.00005,0.00015,0.00003,0.00300,0.00240,0.00118,0.00016,0.03710,0.01703,1260,174,1283,290
20,0.04310,0.00110,0.00810,0.00040,0.08660,0.01720,0.00820,0.00060,0.09760,0.00240,0.00000,0.00000,0.00000,0.00000,0.72830,0.01590,0.00069,0.00006,0.00202,0.00009,0.00000,0.00000,0.01727,0.00045,0.00270,0.00010,0.00000,0.00000,0.00007,0.00000,0.00120,0.00010,0.00075,0.00011,0.01476,0.00042,1253,177,1274,299
30,0.03510,0.00160,0.00240,0.00060,0.06180,0.01990,0.00850,0.00070,0.12730,0.00990,0.00000,0.00000,0.00000,0.00000,0.75310,0.03650,0.00008,0.00006,0.00055,0.00017,0.00000,0.00000,0.00610,0.00155,0.00090,0.00030,0.00000,0.00000,0.00001,0.00002,0.00030,0.00010,0.00031,0.00007,0.00419,0.00070,1103,185,1115,311
45,0.02190,0.00220,0.00000,0.00000,0.02990,0.00880,0.00860,0.00060,0.16190,0.00800,0.00000,0.00000,0.00000,0.00000,0.77320,0.02340,0.00001,0.00000,0.00002,0.00001,0.00000,0.00000,0.00035,0.00070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00020,0.00021,0.00007,0.00013,0.00021,827,196,830,327
60,0.01320,0.00120,0.00000,0.00000,0.01640,0.00460,0.00880,0.00070,0.18320,0.00860,0.00000,0.00000,0.00000,0.00000,0.77390,0.02290,0.00000,0.00000,0.00001,0.00002,0.00000,0.00000,0.00002,0.00004,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00006,0.00006,0.00001,0.00002,622,206,620,343
