z,r,U,Uc_U
cm,cm,m/s,m/s
4,0,0.84,0.11929496
6,0,1.08,0.113121512
10,0,1.65,0.114880723
20,0,2.36,0.234191316
30,0,2.59,0.182001898
42,0,2.59,0.135942671
63,0,2.33,0.147758345
93,0,2.15,0.450362707
113,0,1.94,0.447839842
