z,r,U
cm,cm,m/s
3,0,0.41
7,0,0.79
11,0,1.55
15,0,1.99
21,0,2.57
31,0,2.92
33,0,3.1
35,0,3.15
37,0,3.24
41,0,3.29
45,0,3.45
46,0,3.43
51,0,3.48
61,0,3.47
76,0,3.21
91,0,3.2
106,0,2.81
131,0,2.67
