r,TC,TC_RMS,TG,UC_TG,TG_RMS,D_bead
cm,K,K,K,K,K,um
0,1335,211,1359,71,367,153
-10,1291,237,1313,68,383,153
10,1269,250,1290,67,405,153
20,901,322,909,47,477,153
30,674,327,678,35,454,153
40,465,271,467,24,364,153
50,302,48,303,16,70,153
