r_cm,TC_K,TC_RMS_K,TG_K,TG_RMS_K,Uc_TG_K,D_bead_um
-4,486,142,487,243,25,150
-2,521,135,522,240,27,150
0,545,146,545,263,28,150
2,532,135,533,244,28,150
4,520,130,520,231,27,150
6,489,132,489,229,25,150
8,469,117,470,202,24,150
10,440,103,440,177,23,150
12,421,94,421,164,22,150
14,394,83,394,138,20,150
16,377,74,377,121,20,150
