r_cm,TC_K,TC_RMS_K,TG_K,TG_RMS_K,Uc_TG_K,D_bead_um
-4,656,256,659,440,34,150
-2,727,258,730,444,38,150
0,781,239,785,422,41,150
2,730,221,732,393,38,150
4,655,213,657,375,34,150
6,586,209,588,362,31,150
8,530,179,530,310,28,150
10,504,179,504,299,26,150
12,461,153,462,253,24,150
14,455,162,455,259,24,150
16,404,133,404,205,21,150
