r (cm),T (K),RMS
-4,765.2,320.0
0,950.6,282.0
1,1040.2,NaN
2,894.3,NaN
3,760.4,NaN
4,749.5,NaN
5,699.3,NaN
6,647.4,NaN
7,586.5,NaN
8,585.5,227.0
9,585.3,NaN
10,568.0,NaN
11,442.8,NaN
12,465.7,NaN
13,405.8,NaN
14,493.5,NaN
16,483.2,204.0
