z_cm,TC_K,RMS_TC_K,TG_K,RMS_TG_K
4,1028,229,1037,370
6,1192,227,1206,384
10,1319,200,1339,427
14,1356,190,1376,485
20,1284,240,1301,595
24,1201,257,1216,684
30,1008,286,1017,675
40,851,268,855,634
45,761,237,764,559
60,579,149,580,355
75,494,92,495,217
100,418,51,419,120
