z_cm,r_cm,TC_K,TC_RMS_K,TG_K,TG_RMS_K,Uc_TG_K,D_bead_um
2,0,839,185,845,345,44,199
3,0,961,192,969,339,50,199
5,0,1117,183,1132,313,59,199
7,0,1187,178,1206,294,63,199
11,0,1258,164,1281,271,67,199
15,0,1268,153,1291,258,67,199
21,0,1241,169,1261,286,66,199
31,0,1085,190,1097,320,57,199
46,0,809,195,813,330,42,199
61,0,614,146,615,253,32,199
76,0,503,99,503,212,26,125
91,0,454,63,454,136,24,125
101,0,430,50,430,113,22,125
