z_cm,TC_K,TC_RMS_K,TG_K,TG_RMS_K,Uc_Tg_K
0,335,2,335,8,6.7
1,919,266,922,293,73.76
2,1095,310,1145,358,134.8345282
4,1176,275,1183,318,12.11820222
6,1242,316,1251,373,28.71465001
8,1280,337,1290,405,12.9
11,1227,332,1235,414,38.51393644
14,1230,309,1238,393,24.76
15,1201,332,1209,433,124.3698232
21,1080,346,1085,460,195.1523724
31,901,321,904,435,70.08572652
34,836,299,838,404,16.76
41,719,265,720,369,50.4
51,594,208,595,285,35.7
61,503,153,503,216,29.21312376
64,484,131,484,182,58.08
91,403,67,403,97,20.15
111,377,45,377,63,7.54
