z_cm,r_cm,q_kW/m2,q_RMS_kW/m2
81,300,0.53,0.03
81,325,0.46,0.03
81,350,0.38,0.03
81,400,0.25,0.03
81,450,0.19,0.03
81,500,0.15,0.03
