z,r,U,Uc_U
cm,cm,m/s,m/s
4,,0.64,0.032282466
10,0,1.65,0.08299094
20,0,2.63,0.132550917
21,0,2.7,0.135972068
23,0,2.77,0.139710915
25,0,2.88,0.145250287
29,0,3.09,0.155891336
30,0,3.15,0.158762849
33,0,3.25,0.163830951
39,0,3.37,0.169927139
45,0,3.41,0.172072013
60,0,3.44,0.29719702
75,0,3.23,0.238851616
88,0,3.07,0.154739549
