z,r,U,Uc_U
cm,cm,m/s,m/s
33,0,3.08,0.41
41,0,3.42,0.45
51,0,3.7,0.49
61,0,3.76,0.50
71,0,3.71,0.49
91,0,3.54,0.47
101,0,3.38,0.45
121,0,3.11,0.41
131,0,2.67,0.36
141,0,2.44,0.33
