Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K,Corrected_Temperature_K,U_Corrected_Temperature_K
2,0.0424,0.0011,0.0310,0.0015,0.0678,0.0136,0.0061,0.0004,0.0046,0.0001,0.2397,0.0088,0.0000,0.0000,0.5314,0.0106,0.0000,0.0000,0.0104,0.0004,0.0000,0.0000,0.0375,0.0009,0.0111,0.0005,0.0004,0.0000,0.0007,0.0000,0.0130,0.0007,0.0006,0.0001,0.3063,0.0090,759,131,761,177
4,0.0499,0.0013,0.0342,0.0017,0.0855,0.0170,0.0070,0.0005,0.0033,0.0001,0.1200,0.0045,0.0000,0.0000,0.6092,0.0132,0.0000,0.0000,0.0130,0.0006,0.0000,0.0000,0.0435,0.0011,0.0133,0.0006,0.0007,0.0000,0.0008,0.0000,0.0157,0.0009,0.0018,0.0001,0.1976,0.0050,850,197,854,301
6,0.0501,0.0013,0.0368,0.0018,0.0849,0.0169,0.0071,0.0005,0.0011,0.0000,0.0997,0.0037,0.0000,0.0000,0.6225,0.0134,0.0000,0.0000,0.0149,0.0006,0.0000,0.0000,0.0465,0.0012,0.0141,0.0007,0.0006,0.0000,0.0008,0.0000,0.0169,0.0009,0.0027,0.0001,0.1838,0.0044,1041,246,1051,387
14,0.0541,0.0015,0.0296,0.0015,0.1001,0.0198,0.0078,0.0006,0.0119,0.0003,0.0279,0.0011,0.0000,0.0000,0.6862,0.0163,0.0000,0.0000,0.0120,0.0005,0.0000,0.0000,0.0418,0.0012,0.0106,0.0005,0.0007,0.0000,0.0005,0.0000,0.0129,0.0007,0.0052,0.0001,0.0943,0.0021,1243,215,1258,483
20,0.0521,0.0014,0.0160,0.0008,0.0831,0.0165,0.0084,0.0006,0.0437,0.0010,0.0078,0.0003,0.0000,0.0000,0.7382,0.0158,0.0000,0.0000,0.0063,0.0003,0.0000,0.0000,0.0277,0.0007,0.0061,0.0003,0.0004,0.0000,0.0002,0.0000,0.0062,0.0003,0.0040,0.0002,0.0429,0.0010,1300,212,1317,574
30,0.0411,0.0010,0.0067,0.0003,0.0617,0.0125,0.0086,0.0006,0.0925,0.0020,0.0012,0.0000,0.0000,0.0000,0.7651,0.0142,0.0000,0.0000,0.0022,0.0001,0.0000,0.0000,0.0124,0.0003,0.0024,0.0001,0.0001,0.0000,0.0001,0.0000,0.0021,0.0001,0.0021,0.0001,0.0147,0.0004,1196,262,1210,630
45,0.0233,0.0005,0.0011,0.0001,0.0317,0.0068,0.0086,0.0006,0.1478,0.0028,0.0001,0.0000,0.0000,0.0000,0.7801,0.0121,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0025,0.0001,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0005,0.0001,0.0021,0.0001,1001,320,1010,664
60,0.0149,0.0003,0.0000,0.0000,0.0176,0.0041,0.0086,0.0006,0.1678,0.0030,0.0000,0.0000,0.0000,0.0000,0.7867,0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,     NaN,     NaN,0.0000,0.0000,780,299,785,577
75,0.0112,0.0002,0.0000,0.0000,0.0100,0.0027,0.0087,0.0006,0.1811,0.0032,0.0000,0.0000,0.0000,0.0000,0.7850,0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,     NaN,     NaN,0.0000,0.0000,610,222,612,426
