z,r,Vz,StandDev
cm,cm,m/s,m/s
4,0,0.84,0.32
6,0,1.08,0.37
10,0,1.65,0.36
20,0,2.36,0.45
30,0,2.59,0.53
42,0,2.59,0.53
63,0,2.33,0.48
93,0,2.15,0.42
113,0,1.94,0.42
