z (cm),Tavg (C),Tavg (K),Variance (K)
0.8,478.0,751.2,98.0
3.8,906.5,1179.6,119.6
8.3,1010.3,1283.5,108.8
15.8,1046.4,1319.5,107.3
23.3,884.4,1157.6,NaN
30.8,676.4,949.5,126.1
45.8,352.6,625.8,NaN
60.5,230.0,503.2,60.0
