z,r,U
cm,cm,m/s
4,0,0.38
6,0,0.63
10,0,1.13
14,0,1.52
20,0,2.27
24,0,2.78
26,0,2.95
30,0,3.04
34,0,3.24
45,0,3.41
60,0,3.36
75,0,3.14
100,0,2.9
115,0,2.69
