z,r,U,Uc_U
cm,cm,m/s,m/s
3,0,0.41,0.40
7,0,0.79,0.24
11,0,1.55,0.23
15,0,1.99,0.28
21,0,2.57,0.34
31,0,2.92,0.39
33,0,3.1,0.41
35,0,3.15,0.42
37,0,3.24,0.43
41,0,3.29,0.44
45,0,3.45,0.46
46,0,3.43,0.45
51,0,3.48,0.46
61,0,3.47,0.46
76,0,3.21,0.42
91,0,3.2,0.42
106,0,2.81,0.37
131,0,2.67,0.36
