Time_sec,TC_K_z=-0.8_cm,TC_K_z=-3.3_cm,TC_K_z=-6.8_cm
-50,291.1,291.1,291.0
0,291.1,291.1,291.0
10,291.3,291.1,291.0
20,293.6,291.3,291.2
30,295.9,291.4,291.2
40,298.1,291.4,291.1
50,299.3,291.2,291.1
60,301.2,291.6,291.5
70,302.5,291.5,291.3
80,304.6,291.5,291.3
90,305.2,291.5,291.3
100,307.6,291.5,291.3
110,309.4,291.6,291.5
120,311.3,291.7,291.5
130,312.4,291.7,291.4
140,314.2,291.5,291.3
150,315.4,291.4,291.2
160,316.2,291.4,291.2
170,317.3,291.4,291.1
180,317.7,291.4,291.2
190,319.3,291.6,291.3
200,320.1,292.0,291.6
250,323.1,292.0,291.6
300,324.3,292.2,291.6
350,325.6,292.6,291.6
400,326.3,292.7,291.4
500,327.8,293.7,291.8
600,328.9,294.6,291.9
650,329.5,295.0,292.1
700,330.5,295.1,292.1
800,331.1,295.5,292.0
900,331.1,296.4,292.2
1000,331.8,296.9,292.3
1100,332.2,297.7,292.6
1200,332.1,297.8,292.4
1300,332.1,298.6,293.0
1400,332.1,298.4,292.7
1500,333.0,299.2,292.8
1600,332.6,299.6,293.0
1700,332.9,299.6,292.9
1800,332.4,300.0,292.8
1900,333.2,300.4,292.9
2000,333.3,300.6,293.0
2200,333.6,301.1,293.2
2400,333.9,301.5,293.4
