Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC
2,0.0501,0.0032,0.0274,0.0056,0.0604,0.019,0.0057,0.0006,0.0024,0.0014,0.295531,0.062005,0,0,0.4616,0.0269,0,0,0.02459,0.00148,0,0,0.0301,0.0021,0.01938,0.00499,0.01714,0.00079,0.000151,0.000047,0.0014463,0.0000907,0.001382,0.000442,0.3685,0.06248
4,0.0587,0.012,0.051,0.0065,0.0712,0.0249,0.0067,0.0015,0.0067,0.0065,0.142052,0.042284,0,0,0.5548,0.122,0,0,0.0271,0.0037,0,0,0.0339,0.005,0.02365,0.0036,0.01805,0.00212,0.000168,0.00006,0.0017369,0.0001558,0.003561,0.001145,0.24571,0.0431
14,0.0649,0.0042,0.0592,0.0183,0.0747,0.0223,0.0075,0.0006,0.0103,0.0026,0.050475,0.003549,0,0,0.6249,0.0374,0,0,0.02943,0.00202,0,0,0.0357,0.0027,0.0206,0.00792,0.01752,0.00118,0.000226,0.000088,0.0011398,0.0000428,0.008362,0.001692,0.16106,0.02038
20,0.0525,0.0027,0.045,0.0025,0.0583,0.0077,0.0084,0.0006,0.078,0.0038,0.004193,0.000114,0,0,0.7239,0.0321,0,0,0.00677,0.0003,0,0,0.0115,0.0007,0.00684,0.00019,0.00381,0.0001,0.000078,0.000005,0.0001715,0.0000046,0.004671,0.000965,0.06302,0.00253
30,0.0479,0.0138,0.0197,0.0028,0.0547,0.0111,0.0089,0.0013,0.0974,0.013,0.00217,0.001714,0,0,0.7502,0.1266,0,0,0.00447,0.00334,0,0,0.0084,0.0056,0.00309,0.00038,0.00244,0.00181,0.000099,0.000015,0.0001318,0.0000672,0.003968,0.000936,0.0297,0.00473
45,0.0302,0.0056,0.0059,0.0005,0.0467,0.0068,0.0091,0.0008,0.1283,0.009,0.000472,0.000264,0,0,0.7718,0.0611,0,0,0.00142,0.00068,0,0,0.0035,0.0015,0.00169,0.00121,0.0008,0.00038,0.00004,0.000009,0.0000428,0.0000276,0.002288,0.000604,0.00961,0.0015
60,0.0164,0.001,0.0035,0.0002,0.0315,0.0043,0.0093,0.0007,0.1527,0.009,0.000074,0.000003,0,0,0.7738,0.0426,0,0,0.00025,0.00001,0,0,0.001,0.0001,0.00073,0.00003,0.00016,0.00001,0.00003,0.000002,0.0000031,0.0000001,0.000737,0.000218,0.00456,0.00023
75,0.0169,0.0023,0,0,0.0223,0.0042,0.0095,0.0019,0.1617,0.0313,0.000061,0.000021,0,0,0.7887,0.1491,0,0,0.00005,0.00001,0,0,0.0002,0.0001,0.00056,0.00112,0.00005,0.00004,0.000027,0.000054,0,0,0.000297,0.000118,0.00069,0.00112
