r (cm),T (K),RMS
-4,657.2,258.0
-2,727.2,259.0
0,783.2,241.0
2,730.2,224.0
4,654.2,214.0
6,585.2,209.0
8,530.2,180.0
10,501.2,176.0
12,462.2,155.0
14,456.2,164.0
16,403.2,133.0
18,386.2,121.0
