r,TC,TC_RMS,TG,UC_TG,TG_RMS,D_bead
cm,K,K,K,K,K,um
0,604,177,605,31,249,153
-10,552,169,553,29,233,153
10,622,197,623,32,276,153
20,549,261,549,29,380,153
30,488,149,488,25,218,153
40,428,122,428,22,183,153
50,391,95,391,20,151,153
