z,r,U,Uc_U
cm,cm,m/s,m/s
4,0,0.51,0.33
6,0,0.93,0.22
10,0,1.62,0.24
14,0,2.12,0.29
20,0,2.61,0.35
24,0,2.78,0.37
27,0,2.89,0.38
29,0,2.96,0.39
30,0,2.87,0.38
31,0,3.06,0.41
33,0,2.99,0.40
35,0,3.05,0.40
39,0,3.12,0.41
40,0,2.99,0.40
45,0,3.03,0.40
55,0,3.01,0.40
60,0,2.8,0.37
70,0,2.77,0.37
75,0,2.69,0.36
85,0,2.75,0.37
100,0,2.51,0.34
