z,r,U,Uc_U
cm,cm,m/s,m/s
3,0,0.49,0.34
5,0,0.82,0.24
7,0,1.21,0.22
11,0,1.75,0.25
15,0,2.12,0.29
21,0,2.56,0.34
31,0,2.84,0.38
46,0,3.04,0.40
61,0,3.02,0.40
76,0,2.87,0.38
91,0,2.81,0.37
101,0,2.63,0.35
