r,z,q,Uc_q
cm,cm,kW/m2,kW/m2
300,61,0.57,0.068
325,61,0.49,0.069
350,61,0.41,0.070
400,61,0.28,0.062
450,61,0.22,0.053
500,61,0.16,0.058
