z,r,Vz,StandDev
cm,cm,m/s,m/s
4,0,0.38,0.17
6,0,0.63,0.21
10,0,1.13,0.18
14,0,1.52,0.20
20,0,2.27,0.66
24,0,2.78,0.53
26,0,2.95,0.34
30,0,3.04,0.84
34,0,3.24,0.53
45,0,3.41,0.60
60,0,3.36,0.66
75,0,3.14,0.59
100,0,2.9,0.72
115,0,2.69,0.67
