r,TC,TC_RMS,TG,UC_TG,TG_RMS,D_bead
cm,K,K,K,K,K,um
0,1187,278,1202,63,411,153
-10,1016,301,1024,53,415,153
10,1105,294,1118,58,433,153
20,733,293,737,38,415,153
30,541,245,542,28,336,153
40,443,197,444,23,265,153
50,338,102,338,18,135,153
