z_cm,r_cm,TC_K,TC_RMS_K,TG_K
2,0,839,185,845
3,0,961,192,969
5,0,1117,183,1132
7,0,1187,178,1206
11,0,1258,164,1281
15,0,1268,153,1291
21,0,1241,169,1261
31,0,1085,190,1097
46,0,809,195,813
61,0,614,146,615
