z,r,Vz,StandDev
cm,cm,m/s,m/s
3,0,0.48,0.15
5,0,0.82,0.22
7,0,1.21,0.35
11,0,1.75,0.33
15,0,2.12,0.32
21,0,2.56,0.36
31,0,2.84,0.46
46,0,3.04,0.49
61,0,3.02,0.45
76,0,2.87,0.43
91,0,2.81,0.40
101,0,2.63,0.41
