z_cm,r_cm,TC_K,TC_RMS_K,TG_K
3,0,743,127,745
5,0,856,156,859
7,0,943,164,947
11,0,1086,155,1093
15,0,1191,148,1200
21,0,1237,131,1248
31,0,1212,151,1222
46,0,1074,208,1081
61,0,906,215,910
101,0,598,129,598
