r,z,Q_total,RMS
cm,cm,kW/m2,kW/m2
0,1.3,26.7,5.6
3,1.3,24.9,5.6
6,1.3,26.9,5.2
10,1.3,22.6,4.4
12,1.3,18.1,4.1
13,1.3,16,4.4
14,1.3,5.3,1.4
14.5,1.3,3.7,0.6
