r_cm,TC_K,TC_RMS_K,TG_K,TG_RMS_K
-4,486,142,487,243
-2,521,135,522,240
0,545,146,545,263
2,532,135,533,244
4,520,130,520,231
6,489,132,489,229
8,469,117,470,202
10,440,103,440,177
12,421,94,421,164
14,394,83,394,138
16,377,74,377,121
