z_cm,TC_K,RMS_TC_K,TG_K,RMS_TG_K
2,839,185,845,345
3,961,192,969,339
5,1117,183,1132,313
7,1187,178,1206,294
11,1258,164,1281,271
15,1268,153,1291,258
21,1241,169,1261,286
31,1085,190,1097,320
46,809,195,813,330
61,614,146,615,253
