r,TC,TC_RMS,TG,UC_TG,TG_RMS,D_bead
cm,K,K,K,K,K,um
0,816,267,819,43,380,153
-10,701,247,703,37,338,153
10,816,275,820,43,396,153
20,696,261,698,36,380,153
30,522,198,523,27,278,153
40,441,151,441,23,216,153
50,380,102,380,20,149,153
