s,m/s,kg/m2/s,C,C
Time,WVEL,MLRPUA,T_SURF_MEAN,T_SURF_MAX
 0.0000000E+000, 6.3318038E-003, 0.0000000E+000, 4.5000000E+001, 4.5000000E+001
 2.0005256E+000, 1.7033950E+000, 6.4775730E-003, 4.9136243E+001, 5.2803225E+001
 4.0001311E+000, 4.1270139E+000, 7.2703104E-003, 5.0051833E+001, 5.8201795E+001
 6.0008713E+000, 4.1113384E+000, 7.7544949E-003, 5.0715412E+001, 5.9301800E+001
 8.0005632E+000, 4.2883488E+000, 8.2068838E-003, 5.1209785E+001, 6.0189919E+001
 1.0000066E+001, 4.5005802E+000, 8.8215631E-003, 5.1870120E+001, 6.1414925E+001
 1.2000577E+001, 4.3701351E+000, 9.1456315E-003, 5.2216860E+001, 6.1388621E+001
 1.4000790E+001, 4.5069906E+000, 9.9412105E-003, 5.2905379E+001, 6.2465368E+001
 1.6001248E+001, 4.5680191E+000, 1.0626494E-002, 5.3373951E+001, 6.3135999E+001
 1.8000652E+001, 4.8075928E+000, 1.1334742E-002, 5.3768831E+001, 6.3526692E+001
 2.0000134E+001, 4.7953690E+000, 1.1867034E-002, 5.4405422E+001, 6.3603581E+001
 2.2000520E+001, 4.9195633E+000, 1.2443430E-002, 5.4695029E+001, 6.3789158E+001
 2.4000067E+001, 4.9504268E+000, 1.2415205E-002, 5.4723766E+001, 6.3649723E+001
 2.6000670E+001, 5.0602290E+000, 1.3297941E-002, 5.5082803E+001, 6.4026499E+001
 2.8000640E+001, 4.6794624E+000, 1.4921821E-002, 5.5798974E+001, 6.4243295E+001
 3.0001040E+001, 5.0436378E+000, 1.4882719E-002, 5.6109379E+001, 6.4160228E+001
 3.2000247E+001, 4.8656638E+000, 1.5346572E-002, 5.6308269E+001, 6.4154709E+001
 3.4001057E+001, 4.7641510E+000, 1.5944856E-002, 5.6661943E+001, 6.4132485E+001
 3.6000247E+001, 4.9536049E+000, 1.6526005E-002, 5.6979196E+001, 6.4204072E+001
 3.8000953E+001, 4.7629999E+000, 1.5764799E-002, 5.6879847E+001, 6.4175516E+001
 4.0000019E+001, 4.7330225E+000, 1.6835437E-002, 5.7246527E+001, 6.4180119E+001
 4.2000615E+001, 4.9128308E+000, 1.7016323E-002, 5.7442690E+001, 6.4193318E+001
 4.4000627E+001, 4.6616867E+000, 1.6330872E-002, 5.7363275E+001, 6.4110956E+001
 4.6000111E+001, 4.7408060E+000, 1.7362554E-002, 5.7711103E+001, 6.4269033E+001
 4.8000845E+001, 4.6899685E+000, 1.8113556E-002, 5.7895925E+001, 6.4312121E+001
 5.0000023E+001, 4.8379211E+000, 1.8046594E-002, 5.8117990E+001, 6.4149723E+001
 5.2000609E+001, 4.6413366E+000, 1.8396588E-002, 5.8179949E+001, 6.4295548E+001
 5.4000009E+001, 4.7801643E+000, 1.9124710E-002, 5.8408395E+001, 6.4224129E+001
 5.6000045E+001, 4.9444886E+000, 1.8807732E-002, 5.8473581E+001, 6.4267340E+001
 5.8000312E+001, 4.7258879E+000, 1.9866600E-002, 5.8740470E+001, 6.4334270E+001
 6.0000000E+001, 5.0090440E+000, 1.8643300E-002, 5.8623353E+001, 6.4293215E+001
