s,m/s,kg/m2/s,C,C
Time,WVEL,MLRPUA,T_SURF_MEAN,T_SURF_MAX
 0.0000000E+000,-4.2916633E-003, 0.0000000E+000, 6.0000000E+001, 6.0000000E+001
 3.3333333E-002,-2.4971338E-003, 2.2439337E-002, 5.9684997E+001, 5.9684998E+001
 6.6666667E-002, 5.6043397E-002, 2.2315695E-002, 5.9688539E+001, 5.9688750E+001
 1.0000000E-001, 1.1964403E-001, 2.2364597E-002, 5.9912698E+001, 5.9974104E+001
 1.2075095E-001, 1.4981490E-001, 2.3112756E-002, 6.0365195E+001, 6.0444812E+001
 1.3773905E-001, 1.4699964E-001, 2.4469432E-002, 6.0930659E+001, 6.1010476E+001
 1.5472715E-001, 1.2064617E-001, 2.6138941E-002, 6.1475991E+001, 6.1537828E+001
 1.7171525E-001, 1.1240392E-001, 2.7647950E-002, 6.1879881E+001, 6.1912376E+001
 1.9040216E-001, 1.0716292E-001, 2.9649922E-002, 6.2307240E+001, 6.2358255E+001
 2.1095777E-001, 3.7757955E-002, 3.2822992E-002, 6.2802377E+001, 6.2907881E+001
 2.3151337E-001, 7.2186608E-002, 4.1686522E-001, 7.6834484E+001, 7.8410446E+001
 2.5412453E-001, 1.8005322E-001, 4.4137674E-001, 7.5423848E+001, 7.6806781E+001
 2.6932309E-001, 2.4784183E-001, 4.5144985E-001, 7.4842842E+001, 7.6215069E+001
 2.8452166E-001, 1.7552926E-001, 4.5636180E-001, 7.4435377E+001, 7.5804637E+001
 2.9972023E-001, 1.8399158E-001, 4.5735666E-001, 7.4129009E+001, 7.5498077E+001
 3.1491879E-001, 2.0004291E-001, 4.5515506E-001, 7.3908794E+001, 7.5283342E+001
 3.3011736E-001, 2.2509684E-001, 4.5058284E-001, 7.3742400E+001, 7.5129504E+001
 3.4531592E-001, 2.3147951E-001, 4.4425392E-001, 7.3612548E+001, 7.5015083E+001
 3.6051449E-001, 2.1797847E-001, 4.3645707E-001, 7.3507240E+001, 7.4926096E+001
 3.7571305E-001, 2.3221626E-001, 4.2622956E-001, 7.8290592E+001, 8.1276071E+001
 3.8907809E-001, 2.4164436E-001, 4.1832987E-001, 7.8171059E+001, 8.1119608E+001
 4.0244312E-001, 2.4945006E-001, 4.0999908E-001, 7.8176715E+001, 8.1167805E+001
 4.1580816E-001, 2.6508035E-001, 4.0156475E-001, 7.8171255E+001, 8.1191347E+001
 4.2737209E-001, 2.6777097E-001, 3.9430112E-001, 7.8150486E+001, 8.1193315E+001
 4.3893602E-001, 2.6798751E-001, 3.8698391E-001, 7.8133123E+001, 8.1188698E+001
 4.5049994E-001, 2.7409719E-001, 3.7970419E-001, 7.8108118E+001, 8.1167193E+001
 4.6206387E-001, 2.8298895E-001, 3.7251866E-001, 7.8073985E+001, 8.1133228E+001
 4.7162295E-001, 2.9545173E-001, 3.6656001E-001, 7.8033308E+001, 8.1102534E+001
 4.8118203E-001, 3.0760795E-001, 3.5928715E-001, 8.2659776E+001, 8.7671632E+001
 4.9074110E-001, 3.1389487E-001, 3.5341035E-001, 8.2468535E+001, 8.7323844E+001
 5.0030018E-001, 3.1413959E-001, 3.4754045E-001, 8.2363372E+001, 8.7133177E+001
 5.0985926E-001, 3.1218217E-001, 3.4176035E-001, 8.2271090E+001, 8.6961209E+001
 5.1941833E-001, 3.1307964E-001, 3.3610565E-001, 8.2186369E+001, 8.6829626E+001
 5.2897741E-001, 3.1854311E-001, 3.3055017E-001, 8.2107294E+001, 8.6711283E+001
 5.3853648E-001, 3.2382960E-001, 3.2515795E-001, 8.2032276E+001, 8.6597583E+001
 5.4707937E-001, 3.3176487E-001, 3.2041017E-001, 8.1963867E+001, 8.6482783E+001
 5.5562225E-001, 3.4159734E-001, 3.1577199E-001, 8.1900365E+001, 8.6396404E+001
 5.6416514E-001, 3.5007149E-001, 3.1003272E-001, 8.6540124E+001, 9.2710286E+001
 5.7270802E-001, 3.5480826E-001, 3.0560686E-001, 8.6222271E+001, 9.2081640E+001
 5.8023905E-001, 3.6073389E-001, 3.0174921E-001, 8.6076697E+001, 9.1852449E+001
 5.8777007E-001, 3.6792349E-001, 2.9798487E-001, 8.5951830E+001, 9.1666522E+001
 5.9530110E-001, 3.7243680E-001, 2.9434497E-001, 8.5840321E+001, 9.1504013E+001
 6.0283212E-001, 3.7500409E-001, 2.9079908E-001, 8.5740000E+001, 9.1332982E+001
 6.1036315E-001, 3.7649876E-001, 2.8732705E-001, 8.5647457E+001, 9.1205769E+001
 6.1706832E-001, 3.7956497E-001, 2.8430870E-001, 8.5569304E+001, 9.1099066E+001
 6.2377350E-001, 3.8548885E-001, 2.8137416E-001, 8.5496887E+001, 9.1001797E+001
 6.3047868E-001, 3.8977699E-001, 2.7733121E-001, 9.0808455E+001, 9.7600898E+001
 6.3718385E-001, 3.9227420E-001, 2.7460560E-001, 9.0276406E+001, 9.6626516E+001
 6.4388903E-001, 3.9630591E-001, 2.7186456E-001, 9.0124963E+001, 9.6449159E+001
 6.5059421E-001, 4.0116252E-001, 2.6921527E-001, 8.9975709E+001, 9.6221112E+001
 6.5729938E-001, 4.0615465E-001, 2.6662342E-001, 8.9842298E+001, 9.6059212E+001
 6.6400456E-001, 4.1082875E-001, 2.6411227E-001, 8.9723669E+001, 9.5910121E+001
 6.6997554E-001, 4.1565508E-001, 2.6193770E-001, 8.9625232E+001, 9.5752942E+001
 6.7594651E-001, 4.1980626E-001, 2.5981300E-001, 8.9535321E+001, 9.5647043E+001
 6.8191749E-001, 4.1813100E-001, 2.5773501E-001, 8.9441782E+001, 9.5514207E+001
 6.8788847E-001, 4.1966248E-001, 2.6028173E-001, 6.8178574E+001, 6.9381014E+001
 6.9385944E-001, 4.2464843E-001, 2.5872026E-001, 6.8248519E+001, 6.9491304E+001
 6.9983042E-001, 4.2986298E-001, 2.5723770E-001, 6.8224320E+001, 6.9468060E+001
 7.0580140E-001, 4.3577317E-001, 2.5577672E-001, 6.8200841E+001, 6.9445963E+001
 7.1177237E-001, 4.3987448E-001, 2.5439534E-001, 6.8177735E+001, 6.9424198E+001
 7.1774335E-001, 4.4391214E-001, 2.5308839E-001, 6.8154909E+001, 6.9402884E+001
 7.2295641E-001, 4.4960136E-001, 2.5197790E-001, 6.8132937E+001, 6.9382486E+001
 7.2816946E-001, 4.5359685E-001, 2.5091875E-001, 6.8113598E+001, 6.9364277E+001
 7.3338251E-001, 4.5369810E-001, 2.4989291E-001, 6.8094418E+001, 6.9346609E+001
 7.3859557E-001, 4.5457114E-001, 2.4355698E-001, 6.5845261E+001, 6.6539474E+001
 7.4380862E-001, 4.5392156E-001, 2.4252613E-001, 6.5832054E+001, 6.6529557E+001
 7.4902168E-001, 4.5256022E-001, 2.4157929E-001, 6.5812668E+001, 6.6510847E+001
 7.5423473E-001, 4.5199658E-001, 2.4064636E-001, 6.5793542E+001, 6.6492726E+001
 7.5944779E-001, 4.5250214E-001, 2.3973182E-001, 6.5774651E+001, 6.6474661E+001
 7.6466084E-001, 4.4984639E-001, 2.3887797E-001, 6.5755961E+001, 6.6456843E+001
 7.6987390E-001, 4.4467601E-001, 2.3801715E-001, 6.5737439E+001, 6.6439307E+001
 7.7508695E-001, 4.3831019E-001, 2.3719954E-001, 6.5719121E+001, 6.6422243E+001
 7.8030000E-001, 4.3244742E-001, 2.3646320E-001, 6.5700992E+001, 6.6405180E+001
 7.8551306E-001, 4.2152389E-001, 1.9681045E-001, 6.4887440E+001, 6.5443438E+001
 7.9072611E-001, 4.1365144E-001, 1.9383035E-001, 6.4871657E+001, 6.5429296E+001
 7.9593917E-001, 4.0650561E-001, 1.9215939E-001, 6.4856706E+001, 6.5412619E+001
 8.0115222E-001, 3.9801472E-001, 1.8938503E-001, 6.4842000E+001, 6.5396195E+001
 8.0636528E-001, 3.9162975E-001, 1.8540459E-001, 6.4827518E+001, 6.5380191E+001
 8.1096741E-001, 3.8555038E-001, 1.8258532E-001, 6.4813580E+001, 6.5364554E+001
 8.1556954E-001, 3.7893525E-001, 1.8056863E-001, 6.4801382E+001, 6.5350680E+001
 8.2017168E-001, 3.7065697E-001, 1.7800533E-001, 6.4789445E+001, 6.5337151E+001
 8.2477381E-001, 3.6276552E-001, 1.7598072E-001, 6.4777662E+001, 6.5323548E+001
 8.2937595E-001, 3.5208782E-001, 1.5122452E-001, 6.4669479E+001, 6.5209314E+001
 8.3397808E-001, 3.4098222E-001, 1.4560524E-001, 6.4658503E+001, 6.5196142E+001
 8.3858021E-001, 3.3158181E-001, 1.3752819E-001, 6.4648900E+001, 6.5183226E+001
 8.4318235E-001, 3.1969306E-001, 1.3117136E-001, 6.4639740E+001, 6.5170250E+001
 8.4729544E-001, 3.1165902E-001, 1.2803752E-001, 6.4631243E+001, 6.5157701E+001
 8.5140854E-001, 3.0241346E-001, 1.2250579E-001, 6.4624002E+001, 6.5146367E+001
 8.5552164E-001, 2.9364242E-001, 1.1625093E-001, 6.4616985E+001, 6.5135366E+001
