cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 2.6500000E+001, 1.2065971E+003, 1.2206124E+002, 1.6948276E+001, 8.0278576E+002, 2.2937779E+002, 6.3442293E+002, 1.8483926E+002, 6.0617691E+002, 1.7853415E+002, 5.6360235E+002, 1.5850946E+002, 5.1311649E+002, 1.1968362E+002, 1.1024000E+002, 2.6870000E+000, 7.5297953E-001, 2.9573823E+000, 2.7649237E+000, 2.4908994E+000, 5.8500000E+001, 8.3238287E-001
 2.8500000E+001, 1.2158871E+003, 1.2094464E+002, 1.8982759E+001, 7.5026220E+002, 2.2175194E+002, 5.7438982E+002, 1.6384663E+002, 5.6267320E+002, 1.6654874E+002, 5.3354778E+002, 1.4753787E+002, 4.9507262E+002, 1.1404436E+002, 1.1472000E+002, 2.8860000E+000, 6.9528069E-001, 2.7726554E+000, 2.6039198E+000, 2.3576695E+000, 6.3000000E+001, 8.3644375E-001
 3.0500000E+001, 1.2240808E+003, 1.2031254E+002, 2.1017241E+001, 7.0760765E+002, 2.1481103E+002, 5.2569983E+002, 1.4732559E+002, 5.2691469E+002, 1.5476472E+002, 5.0594989E+002, 1.3504362E+002, 4.7692008E+002, 1.0865011E+002, 1.1920000E+002, 3.0850000E+000, 6.4311921E-001, 2.6025250E+000, 2.4548752E+000, 2.2333224E+000, 6.7500000E+001, 8.3486232E-001
 3.2500000E+001, 1.2308852E+003, 1.2039924E+002, 2.3051724E+001, 6.6666975E+002, 2.0273201E+002, 4.9356622E+002, 1.4067777E+002, 4.9406493E+002, 1.4116801E+002, 4.8100391E+002, 1.2484531E+002, 4.5983855E+002, 1.0267673E+002, 1.2368000E+002, 3.2840000E+000, 5.9584103E-001, 2.4454986E+000, 2.3167689E+000, 2.1171129E+000, 7.2000000E+001, 8.1905908E-001
 3.4500000E+001, 1.2363848E+003, 1.2139168E+002, 2.5086207E+001, 6.2190732E+002, 1.9419619E+002, 4.6477015E+002, 1.3043848E+002, 4.6230620E+002, 1.2730030E+002, 4.5862388E+002, 1.1357946E+002, 4.4205645E+002, 9.3542460E+001, 1.2816000E+002, 3.4830000E+000, 5.1376129E-001, 2.1656905E+000, 2.0697575E+000, 1.9064731E+000, 7.6500000E+001, 8.0822143E-001
 3.6500000E+001, 1.2406800E+003, 1.2327082E+002, 2.7120690E+001, 5.8063113E+002, 1.9317013E+002, 4.3918947E+002, 1.2191387E+002, 4.3479016E+002, 1.1905776E+002, 4.3875506E+002, 1.0476227E+002, 4.2594875E+002, 8.6493008E+001, 1.3264000E+002, 3.6820000E+000, 4.7805346E-001, 2.0407603E+000, 1.9592481E+000, 1.8108842E+000, 8.1000000E+001, 7.9718904E-001
 3.8500000E+001, 1.2437940E+003, 1.2575442E+002, 2.9155172E+001, 5.5096702E+002, 1.8721075E+002, 4.1886968E+002, 1.1478115E+002, 4.1478676E+002, 1.1181368E+002, 4.2018567E+002, 9.6862173E+001, 4.1145276E+002, 8.0651624E+001, 1.3712000E+002, 3.8810000E+000, 4.4539428E-001, 1.9245986E+000, 1.8564475E+000, 1.7211054E+000, 8.5500000E+001, 7.8661257E-001
 4.0500000E+001, 1.2457009E+003, 1.2839433E+002, 3.1189655E+001, 5.2594675E+002, 1.7952978E+002, 4.0238975E+002, 1.0750079E+002, 3.9814368E+002, 1.0462128E+002, 4.0158865E+002, 8.4800690E+001, 3.9880321E+002, 7.7692493E+001, 1.4160000E+002, 4.0800000E+000, 4.1627453E-001, 1.7997528E+000, 1.7440461E+000, 1.6207859E+000, 9.0000000E+001, 7.7678470E-001
 4.2500000E+001, 1.2471725E+003, 1.3106238E+002, 3.3224138E+001, 4.9722306E+002, 1.7135497E+002, 3.9029439E+002, 9.9308950E+001, 3.8283301E+002, 9.6150798E+001, 3.8396930E+002, 7.4277573E+001, 3.8768731E+002, 7.5650587E+001, 1.4608000E+002, 4.2790000E+000, 3.8914053E-001, 1.7004968E+000, 1.6564550E+000, 1.5430591E+000, 9.4500000E+001, 7.6774897E-001
 4.4500000E+001, 1.2476049E+003, 1.3393180E+002, 3.5258621E+001, 4.7218406E+002, 1.6077011E+002, 3.7657169E+002, 8.7504524E+001, 3.6990941E+002, 8.8004367E+001, 3.6958798E+002, 6.7272268E+001, 3.7731910E+002, 7.2156282E+001, 1.5056000E+002, 4.4780000E+000, 3.6418150E-001, 1.6079143E+000, 1.5747330E+000, 1.4698797E+000, 9.9000000E+001, 7.5928693E-001
