s,m/s,kg/m2/s,C,C
Time,WVEL,MLRPUA,T_SURF_MEAN,T_SURF_MAX
 0.0000000E+000,-2.8657650E-003, 0.0000000E+000, 4.5000000E+001, 4.5000000E+001
 2.0002383E+000, 2.1166774E+000, 7.6127988E-003, 5.0567285E+001, 5.4859266E+001
 4.0005966E+000, 4.3042380E+000, 9.8678304E-003, 5.3302339E+001, 6.0160247E+001
 6.0000228E+000, 4.3670666E+000, 1.1709991E-002, 5.4935371E+001, 6.1852057E+001
 8.0005464E+000, 4.3634542E+000, 1.3672605E-002, 5.6324862E+001, 6.3517271E+001
 1.0000422E+001, 4.6170083E+000, 1.4295755E-002, 5.7090052E+001, 6.3835162E+001
 1.2000601E+001, 4.6660718E+000, 1.6092314E-002, 5.8002547E+001, 6.3993248E+001
 1.4000566E+001, 4.4509668E+000, 1.7663793E-002, 5.8708388E+001, 6.4259750E+001
 1.6000169E+001, 4.6462238E+000, 1.8329087E-002, 5.9106193E+001, 6.4242557E+001
 1.8000041E+001, 4.4979339E+000, 1.8200764E-002, 5.9324590E+001, 6.4306430E+001
 2.0000055E+001, 4.7207933E+000, 2.0385658E-002, 5.9781517E+001, 6.4408399E+001
 2.2000615E+001, 4.7445521E+000, 1.9672311E-002, 5.9852773E+001, 6.4333038E+001
 2.4000184E+001, 4.6978314E+000, 2.0102842E-002, 5.9959985E+001, 6.4285782E+001
 2.6000311E+001, 4.5445314E+000, 1.9866506E-002, 6.0069860E+001, 6.4327262E+001
 2.8000029E+001, 4.6693580E+000, 2.0600819E-002, 6.0253468E+001, 6.4303453E+001
 3.0000513E+001, 4.4569944E+000, 2.1787047E-002, 6.0510931E+001, 6.4315670E+001
 3.2000348E+001, 4.4005864E+000, 2.1714638E-002, 6.0555443E+001, 6.4365180E+001
 3.4000067E+001, 4.4277672E+000, 2.0238976E-002, 6.0402819E+001, 6.4295059E+001
 3.6000318E+001, 4.8096353E+000, 1.9886902E-002, 6.0409544E+001, 6.4282722E+001
 3.8000286E+001, 4.7310049E+000, 2.0943548E-002, 6.0618548E+001, 6.4293770E+001
 4.0000200E+001, 4.4110913E+000, 2.0447893E-002, 6.0436595E+001, 6.4346847E+001
 4.2000014E+001, 4.2803785E+000, 2.2402350E-002, 6.0799158E+001, 6.4352609E+001
 4.4000580E+001, 4.3090731E+000, 2.1110532E-002, 6.0657808E+001, 6.4396815E+001
 4.6000384E+001, 4.7500424E+000, 2.0075585E-002, 6.0483220E+001, 6.4262744E+001
 4.8000309E+001, 4.6297323E+000, 2.1471893E-002, 6.0673335E+001, 6.4369252E+001
 5.0000407E+001, 4.4614831E+000, 2.1712545E-002, 6.0773795E+001, 6.4407600E+001
 5.2000312E+001, 4.3802234E+000, 2.0861588E-002, 6.0708423E+001, 6.4430048E+001
 5.4000547E+001, 4.5054780E+000, 2.1087934E-002, 6.0634837E+001, 6.4385349E+001
 5.6000147E+001, 4.7317545E+000, 2.1476465E-002, 6.0761235E+001, 6.4313035E+001
 5.8000490E+001, 4.3825350E+000, 2.3349060E-002, 6.0947051E+001, 6.4427269E+001
 6.0000000E+001, 4.5102104E+000, 2.2493051E-002, 6.0842684E+001, 6.4322163E+001
