s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00,-1.351E-03, 2.133E-10, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.351E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.008E+00, 1.076E+00, 0.000E+00,-3.070E-01, 1.148E-02,-6.188E-02, 3.474E-04, 0.000E+00, 0.000E+00, 7.152E-01, 7.190E-01, 0.000E+00, 2.458E-05, 0.000E+00
 4.001E+00, 3.308E+00, 0.000E+00,-9.612E-01, 4.696E-03,-2.505E-01, 4.427E-03, 0.000E+00, 0.000E+00, 2.102E+00, 2.105E+00, 0.000E+00, 7.327E-05, 0.000E+00
 6.001E+00, 5.520E+00, 0.000E+00,-1.579E+00,-6.314E-01,-5.221E-01, 1.610E-02, 0.000E+00, 0.000E+00, 2.808E+00, 2.803E+00, 0.000E+00, 1.219E-04, 0.000E+00
 8.002E+00, 7.750E+00, 0.000E+00,-2.226E+00,-3.066E+00,-7.545E-01, 3.484E-02, 0.000E+00, 0.000E+00, 1.759E+00, 1.739E+00, 0.000E+00, 1.706E-04, 0.000E+00
 1.000E+01, 9.975E+00, 0.000E+00,-2.857E+00,-4.723E+00,-1.061E+00, 6.263E-02, 0.000E+00, 0.000E+00, 1.413E+00, 1.397E+00, 0.000E+00, 2.194E-04, 0.000E+00
 1.200E+01, 1.217E+01, 0.000E+00,-3.487E+00,-6.226E+00,-1.487E+00, 1.010E-01, 0.000E+00, 0.000E+00, 1.079E+00, 1.070E+00, 0.000E+00, 2.681E-04, 0.000E+00
 1.400E+01, 1.434E+01, 0.000E+00,-4.107E+00,-7.745E+00,-1.944E+00, 1.425E-01, 0.000E+00, 0.000E+00, 6.945E-01, 6.867E-01, 0.000E+00, 3.168E-04, 0.000E+00
 1.600E+01, 1.664E+01, 0.000E+00,-4.720E+00,-8.760E+00,-2.159E+00, 1.898E-01, 0.000E+00, 0.000E+00, 1.208E+00, 1.193E+00, 0.000E+00, 3.656E-04, 0.000E+00
 1.800E+01, 1.858E+01, 0.000E+00,-5.288E+00,-9.965E+00,-2.513E+00, 2.331E-01, 0.000E+00, 0.000E+00, 1.059E+00, 1.043E+00, 0.000E+00, 4.143E-04, 0.000E+00
 2.000E+01, 2.100E+01, 0.000E+00,-5.983E+00,-1.131E+01,-2.707E+00, 2.769E-01, 0.000E+00, 0.000E+00, 1.280E+00, 1.272E+00, 0.000E+00, 4.630E-04, 0.000E+00
 2.200E+01, 2.307E+01, 0.000E+00,-6.574E+00,-1.271E+01,-2.893E+00, 3.173E-01, 0.000E+00, 0.000E+00, 1.225E+00, 1.207E+00, 0.000E+00, 5.177E-04, 0.000E+00
 2.400E+01, 2.620E+01, 0.000E+00,-7.498E+00,-1.503E+01,-3.040E+00, 3.654E-01, 0.000E+00, 0.000E+00, 1.011E+00, 9.978E-01, 0.000E+00, 5.783E-04, 0.000E+00
 2.600E+01, 2.873E+01, 0.000E+00,-8.268E+00,-1.757E+01,-3.069E+00, 4.174E-01, 0.000E+00, 0.000E+00, 2.595E-01, 2.394E-01, 0.000E+00, 6.389E-04, 0.000E+00
 2.800E+01, 3.156E+01, 0.000E+00,-9.016E+00,-1.824E+01,-3.573E+00, 4.667E-01, 0.000E+00, 0.000E+00, 1.247E+00, 1.205E+00, 0.000E+00, 6.994E-04, 0.000E+00
 3.000E+01, 3.440E+01, 0.000E+00,-9.836E+00,-2.052E+01,-3.298E+00, 5.014E-01, 0.000E+00, 0.000E+00, 1.262E+00, 1.247E+00, 0.000E+00, 7.600E-04, 0.000E+00
 3.200E+01, 3.709E+01, 0.000E+00,-1.056E+01,-2.182E+01,-3.662E+00, 5.476E-01, 0.000E+00, 0.000E+00, 1.624E+00, 1.595E+00, 0.000E+00, 8.206E-04, 0.000E+00
 3.400E+01, 3.900E+01, 0.000E+00,-1.132E+01,-2.445E+01,-3.676E+00, 5.855E-01, 0.000E+00, 0.000E+00, 1.820E-01, 1.466E-01, 0.000E+00, 8.812E-04, 0.000E+00
