s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00,-1.342E-03,-5.752E-11, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.342E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.013E+00, 1.086E+00, 0.000E+00,-3.264E-01, 1.018E-02,-3.217E-02, 2.320E-04, 0.000E+00, 0.000E+00, 7.324E-01, 7.379E-01, 0.000E+00, 2.474E-05, 0.000E+00
 4.003E+00, 3.287E+00, 0.000E+00,-9.568E-01,-6.983E-02,-1.294E-01, 2.842E-03, 0.000E+00, 0.000E+00, 2.129E+00, 2.134E+00, 0.000E+00, 7.342E-05, 0.000E+00
 6.001E+00, 5.493E+00, 0.000E+00,-1.596E+00,-8.395E-01,-3.020E-01, 1.055E-02, 0.000E+00, 0.000E+00, 2.772E+00, 2.766E+00, 0.000E+00, 1.220E-04, 0.000E+00
 8.003E+00, 7.722E+00, 0.000E+00,-2.220E+00,-3.537E+00,-5.249E-01, 2.367E-02, 0.000E+00, 0.000E+00, 1.489E+00, 1.463E+00, 0.000E+00, 1.707E-04, 0.000E+00
 1.000E+01, 9.945E+00, 0.000E+00,-2.892E+00,-4.407E+00,-6.752E-01, 4.281E-02, 0.000E+00, 0.000E+00, 2.032E+00, 2.014E+00, 0.000E+00, 2.194E-04, 0.000E+00
 1.200E+01, 1.216E+01, 0.000E+00,-3.513E+00,-6.918E+00,-8.863E-01, 6.749E-02, 0.000E+00, 0.000E+00, 9.322E-01, 9.069E-01, 0.000E+00, 2.681E-04, 0.000E+00
 1.400E+01, 1.439E+01, 0.000E+00,-4.156E+00,-8.083E+00,-1.105E+00, 9.480E-02, 0.000E+00, 0.000E+00, 1.172E+00, 1.138E+00, 0.000E+00, 3.169E-04, 0.000E+00
 1.600E+01, 1.660E+01, 0.000E+00,-4.741E+00,-1.005E+01,-1.182E+00, 1.275E-01, 0.000E+00, 0.000E+00, 7.619E-01, 7.501E-01, 0.000E+00, 3.656E-04, 0.000E+00
 1.800E+01, 1.876E+01, 0.000E+00,-5.386E+00,-1.066E+01,-1.457E+00, 1.596E-01, 0.000E+00, 0.000E+00, 1.422E+00, 1.415E+00, 0.000E+00, 4.143E-04, 0.000E+00
 2.000E+01, 2.108E+01, 0.000E+00,-6.079E+00,-1.224E+01,-1.520E+00, 1.971E-01, 0.000E+00, 0.000E+00, 1.447E+00, 1.440E+00, 0.000E+00, 4.630E-04, 0.000E+00
 2.200E+01, 2.345E+01, 0.000E+00,-6.712E+00,-1.473E+01,-1.760E+00, 2.356E-01, 0.000E+00, 0.000E+00, 5.065E-01, 4.843E-01, 0.000E+00, 5.177E-04, 0.000E+00
 2.400E+01, 2.586E+01, 0.000E+00,-7.489E+00,-1.596E+01,-1.859E+00, 2.832E-01, 0.000E+00, 0.000E+00, 8.574E-01, 8.431E-01, 0.000E+00, 5.783E-04, 0.000E+00
