s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Flux-6","Flux-7","Flux-8","Flux-9","Flux-10","Flux-11","Flux-12","Flux-13","Flux-14","Flux-15","Flux-16","Flux-17","Flux-18","Flux-19","Flux-20","Flux-21","Flux-22","Flux-23","Flux-24","Flux-25","Flux-26","Flux-27","Flux-28","Flux-29","Flux-30","Flux-31","Flux-32","Flux-33","Flux-34","Flux-35","Flux-36","Flux-37","Flux-38","Flux-39","Flux-40","Flux-41","Flux-42","Flux-43","Flux-44","Flux-45","Flux-46","Flux-47","Flux-48","Flux-49","Flux-50","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5","Temp-6","Temp-7","Temp-8","Temp-9","Temp-10","Temp-11","Temp-12","Temp-13","Temp-14","Temp-15","Temp-16","Temp-17","Temp-18","Temp-19","Temp-20","Temp-21","Temp-22","Temp-23","Temp-24","Temp-25","Temp-26","Temp-27","Temp-28","Temp-29","Temp-30","Temp-31","Temp-32","Temp-33","Temp-34","Temp-35","Temp-36","Temp-37","Temp-38","Temp-39","Temp-40","Temp-41","Temp-42","Temp-43","Temp-44","Temp-45","Temp-46","Temp-47","Temp-48","Temp-49","Temp-50","HF_y-25z20","HF_y-15z20","HF_y0z20","HF_y15z20","HF_y25z20","HF_y-25z50","HF_y-15z50","HF_y0z50","HF_y15z50","HF_y25z50","HF_y-25z75","HF_y-15z75","HF_y0z75","HF_y15z75","HF_y25z75","HF_y-25z100","HF_y-15z100","HF_y0z100","HF_y15z100","HF_y25z100"
 0.000E+00,-3.501E-03,-4.237E-03,-7.533E-03,-7.763E-03,-7.916E-03,-7.723E-03,-7.264E-03,-6.956E-03,-6.463E-03,-6.022E-03,-6.359E-03,-6.634E-03,-6.984E-03,-6.966E-03,-6.749E-03,-6.564E-03,-6.198E-03,-5.813E-03,-5.493E-03,-6.581E-03,-6.873E-03,-6.927E-03,-6.798E-03,-6.533E-03,-6.316E-03,-5.788E-03,-5.470E-03,-6.581E-03,-6.873E-03,-6.927E-03,-6.798E-03,-6.533E-03,-6.316E-03,-5.991E-03,-5.470E-03,-6.404E-03,-6.855E-03,-6.930E-03,-6.763E-03,-6.582E-03,-6.258E-03,-5.924E-03,-5.382E-03,-5.908E-03,-6.152E-03,-6.064E-03,-5.662E-03,-5.256E-03,-4.107E-03,-3.341E-03, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.013E+00, 1.263E+00, 5.590E-01, 1.644E-01, 1.116E-01, 7.243E-02, 5.528E-02, 3.720E-02, 2.916E-02, 2.099E-02, 1.710E-02, 6.970E-03, 5.739E-03, 4.319E-03, 3.598E-03, 2.794E-03, 2.404E-03, 1.968E-03, 1.736E-03, 1.545E-03, 4.587E-04, 4.326E-04, 3.760E-04, 3.316E-04, 2.599E-04, 2.069E-04, 1.074E-04, 3.946E-05,-2.275E-04,-2.116E-04,-2.118E-04,-2.212E-04,-2.421E-04,-2.620E-04,-2.922E-04,-3.465E-04,-3.437E-04,-2.954E-04,-2.768E-04,-2.624E-04,-2.562E-04,-2.528E-04,-2.608E-04,-2.787E-04,-2.955E-04,-2.313E-04,-1.992E-04,-1.596E-04,-1.350E-04,-1.015E-04,-8.372E-05, 2.321E+01, 2.120E+01, 2.032E+01, 2.022E+01, 2.014E+01, 2.011E+01, 2.007E+01, 2.006E+01, 2.004E+01, 2.003E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.003E+00, 4.095E+00, 3.119E+00, 1.552E+00, 1.099E+00, 7.107E-01, 5.473E-01, 3.907E-01, 3.197E-01, 2.453E-01, 2.088E-01, 1.556E-01, 1.316E-01, 1.016E-01, 8.587E-02, 6.794E-02, 5.753E-02, 4.320E-02, 3.466E-02, 2.728E-02, 1.951E-02, 1.778E-02, 1.560E-02, 1.432E-02, 1.260E-02, 1.155E-02, 1.009E-02, 9.191E-03, 7.164E-03, 6.490E-03, 5.559E-03, 4.990E-03, 4.212E-03, 3.743E-03, 3.309E-03, 2.728E-03, 2.100E-03, 1.708E-03, 1.481E-03, 1.186E-03, 1.017E-03, 8.021E-04, 6.807E-04, 5.282E-04, 3.848E-04, 2.956E-04, 2.469E-04, 1.873E-04, 1.551E-04, 1.156E-04, 9.466E-05, 3.545E+01, 3.095E+01, 2.513E+01, 2.362E+01, 2.231E+01, 2.177E+01, 2.126E+01, 2.102E+01, 2.078E+01, 2.065E+01, 2.045E+01, 2.037E+01, 2.028E+01, 2.023E+01, 2.017E+01, 2.014E+01, 2.011E+01, 2.009E+01, 2.008E+01, 2.005E+01, 2.005E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.001E+00, 8.512E+00, 5.637E+00, 2.846E+00, 2.016E+00, 1.314E+00, 1.005E+00, 7.021E-01, 5.665E-01, 4.059E-01, 3.263E-01, 2.396E-01, 2.005E-01, 1.577E-01, 1.372E-01, 1.153E-01, 1.054E-01, 9.693E-02, 9.431E-02, 9.195E-02, 8.216E-02, 7.760E-02, 7.314E-02, 7.348E-02, 8.588E-02, 9.629E-02, 1.067E-01, 1.088E-01, 1.040E-01, 9.843E-02, 8.765E-02, 7.902E-02, 6.691E-02, 6.013E-02, 5.370E-02, 4.311E-02, 3.606E-02, 2.638E-02, 2.224E-02, 1.761E-02, 1.539E-02, 1.205E-02, 9.840E-03, 6.834E-03, 4.679E-03, 2.567E-03, 1.861E-03, 1.131E-03, 9.242E-04, 7.038E-04, 5.898E-04, 5.621E+01, 4.446E+01, 3.203E+01, 2.855E+01, 2.562E+01, 2.434E+01, 2.305E+01, 2.247E+01, 2.183E+01, 2.152E+01, 2.113E+01, 2.096E+01, 2.076E+01, 2.067E+01, 2.056E+01, 2.051E+01, 2.045E+01, 2.042E+01, 2.040E+01, 2.033E+01, 2.031E+01, 2.029E+01, 2.028E+01, 2.033E+01, 2.036E+01, 2.038E+01, 2.038E+01, 2.035E+01, 2.032E+01, 2.028E+01, 2.024E+01, 2.020E+01, 2.017E+01, 2.015E+01, 2.011E+01, 2.009E+01, 2.007E+01, 2.006E+01, 2.004E+01, 2.004E+01, 2.003E+01, 2.002E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.003E+00, 1.578E+01, 1.304E+01, 8.326E+00, 6.200E+00, 4.151E+00, 3.236E+00, 2.242E+00, 1.771E+00, 1.314E+00, 1.105E+00, 8.717E-01, 7.742E-01, 6.688E-01, 6.089E-01, 5.189E-01, 4.632E-01, 4.060E-01, 3.837E-01, 3.637E-01, 3.329E-01, 3.136E-01, 2.785E-01, 2.516E-01, 2.141E-01, 1.937E-01, 1.690E-01, 1.540E-01, 1.309E-01, 1.175E-01, 9.822E-02, 8.770E-02, 7.658E-02, 7.272E-02, 6.825E-02, 6.256E-02, 5.835E-02, 5.056E-02, 4.438E-02, 4.167E-02, 3.810E-02, 2.545E-02, 2.358E-02, 2.621E-02, 2.532E-02, 2.416E-02, 2.229E-02, 2.241E-02, 2.164E-02, 2.019E-02, 1.769E-02, 9.627E+01, 7.834E+01, 5.429E+01, 4.516E+01, 3.683E+01, 3.307E+01, 2.909E+01, 2.724E+01, 2.532E+01, 2.445E+01, 2.343E+01, 2.299E+01, 2.249E+01, 2.222E+01, 2.186E+01, 2.166E+01, 2.144E+01, 2.134E+01, 2.125E+01, 2.111E+01, 2.103E+01, 2.091E+01, 2.083E+01, 2.075E+01, 2.072E+01, 2.068E+01, 2.064E+01, 2.058E+01, 2.053E+01, 2.046E+01, 2.042E+01, 2.037E+01, 2.035E+01, 2.032E+01, 2.029E+01, 2.026E+01, 2.021E+01, 2.019E+01, 2.019E+01, 2.018E+01, 2.013E+01, 2.012E+01, 2.012E+01, 2.011E+01, 2.010E+01, 2.009E+01, 2.009E+01, 2.008E+01, 2.007E+01, 2.006E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 1.592E+01, 1.310E+01, 8.015E+00, 5.870E+00, 3.858E+00, 3.008E+00, 2.154E+00, 1.725E+00, 1.284E+00, 1.099E+00, 8.668E-01, 7.615E-01, 6.668E-01, 6.109E-01, 5.395E-01, 4.893E-01, 4.429E-01, 4.114E-01, 3.803E-01, 3.291E-01, 2.987E-01, 2.597E-01, 2.445E-01, 2.374E-01, 2.408E-01, 2.492E-01, 2.494E-01, 2.398E-01, 2.279E-01, 2.207E-01, 2.191E-01, 2.155E-01, 2.091E-01, 2.039E-01, 1.978E-01, 1.908E-01, 1.774E-01, 1.679E-01, 1.585E-01, 1.547E-01, 1.449E-01, 1.353E-01, 1.207E-01, 1.121E-01, 9.654E-02, 8.849E-02, 8.148E-02, 7.802E-02, 7.424E-02, 6.998E-02, 1.239E+02, 1.032E+02, 7.086E+01, 5.737E+01, 4.468E+01, 3.920E+01, 3.356E+01, 3.088E+01, 2.816E+01, 2.695E+01, 2.551E+01, 2.486E+01, 2.426E+01, 2.392E+01, 2.342E+01, 2.307E+01, 2.273E+01, 2.255E+01, 2.239E+01, 2.214E+01, 2.198E+01, 2.176E+01, 2.165E+01, 2.155E+01, 2.153E+01, 2.153E+01, 2.150E+01, 2.141E+01, 2.131E+01, 2.120E+01, 2.115E+01, 2.107E+01, 2.103E+01, 2.098E+01, 2.092E+01, 2.087E+01, 2.079E+01, 2.074E+01, 2.068E+01, 2.065E+01, 2.058E+01, 2.054E+01, 2.049E+01, 2.046E+01, 2.041E+01, 2.037E+01, 2.035E+01, 2.034E+01, 2.032E+01, 2.030E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+01, 2.712E+01, 2.362E+01, 1.483E+01, 1.091E+01, 7.267E+00, 5.674E+00, 3.980E+00, 3.203E+00, 2.360E+00, 1.958E+00, 1.519E+00, 1.299E+00, 1.042E+00, 9.314E-01, 8.381E-01, 7.923E-01, 7.295E-01, 6.855E-01, 6.387E-01, 5.653E-01, 5.009E-01, 4.202E-01, 3.826E-01, 3.337E-01, 3.060E-01, 2.744E-01, 2.613E-01, 2.476E-01, 2.374E-01, 2.265E-01, 2.230E-01, 2.172E-01, 2.153E-01, 2.137E-01, 2.126E-01, 2.123E-01, 2.059E-01, 1.995E-01, 1.937E-01, 1.903E-01, 1.835E-01, 1.786E-01, 1.707E-01, 1.649E-01, 1.572E-01, 1.521E-01, 1.456E-01, 1.410E-01, 1.330E-01, 1.248E-01, 1.695E+02, 1.452E+02, 9.775E+01, 7.757E+01, 5.853E+01, 5.012E+01, 4.123E+01, 3.706E+01, 3.268E+01, 3.070E+01, 2.848E+01, 2.743E+01, 2.630E+01, 2.575E+01, 2.517E+01, 2.480E+01, 2.436E+01, 2.410E+01, 2.382E+01, 2.338E+01, 2.306E+01, 2.264E+01, 2.244E+01, 2.221E+01, 2.212E+01, 2.203E+01, 2.197E+01, 2.184E+01, 2.174E+01, 2.163E+01, 2.158E+01, 2.151E+01, 2.146E+01, 2.143E+01, 2.137E+01, 2.133E+01, 2.124E+01, 2.116E+01, 2.110E+01, 2.106E+01, 2.097E+01, 2.091E+01, 2.085E+01, 2.080E+01, 2.073E+01, 2.069E+01, 2.064E+01, 2.062E+01, 2.059E+01, 2.056E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.400E+01, 4.269E+01, 3.288E+01, 1.818E+01, 1.298E+01, 8.230E+00, 6.283E+00, 4.486E+00, 3.657E+00, 2.770E+00, 2.317E+00, 1.794E+00, 1.548E+00, 1.267E+00, 1.125E+00, 9.798E-01, 8.985E-01, 7.698E-01, 6.902E-01, 6.325E-01, 5.718E-01, 5.476E-01, 5.134E-01, 4.926E-01, 4.668E-01, 4.573E-01, 4.453E-01, 4.321E-01, 4.070E-01, 3.885E-01, 3.576E-01, 3.355E-01, 3.069E-01, 2.917E-01, 2.814E-01, 2.687E-01, 2.604E-01, 2.534E-01, 2.486E-01, 2.338E-01, 2.210E-01, 2.084E-01, 2.000E-01, 1.793E-01, 1.660E-01, 1.528E-01, 1.465E-01, 1.356E-01, 1.308E-01, 1.264E-01, 1.196E-01, 2.660E+02, 2.215E+02, 1.404E+02, 1.077E+02, 7.721E+01, 6.439E+01, 5.171E+01, 4.579E+01, 3.937E+01, 3.619E+01, 3.254E+01, 3.083E+01, 2.892E+01, 2.799E+01, 2.702E+01, 2.649E+01, 2.576E+01, 2.531E+01, 2.492E+01, 2.443E+01, 2.410E+01, 2.366E+01, 2.342E+01, 2.315E+01, 2.303E+01, 2.288E+01, 2.278E+01, 2.260E+01, 2.247E+01, 2.229E+01, 2.218E+01, 2.204E+01, 2.196E+01, 2.190E+01, 2.182E+01, 2.177E+01, 2.169E+01, 2.164E+01, 2.157E+01, 2.151E+01, 2.143E+01, 2.138E+01, 2.128E+01, 2.121E+01, 2.112E+01, 2.108E+01, 2.102E+01, 2.099E+01, 2.094E+01, 2.089E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.600E+01, 3.268E+01, 2.832E+01, 1.774E+01, 1.337E+01, 9.327E+00, 7.426E+00, 5.262E+00, 4.271E+00, 3.219E+00, 2.736E+00, 2.209E+00, 1.940E+00, 1.605E+00, 1.429E+00, 1.227E+00, 1.103E+00, 9.698E-01, 8.876E-01, 8.083E-01, 7.201E-01, 6.646E-01, 5.859E-01, 5.397E-01, 4.676E-01, 4.240E-01, 3.855E-01, 3.747E-01, 3.764E-01, 3.794E-01, 3.729E-01, 3.463E-01, 2.986E-01, 2.679E-01, 2.425E-01, 2.200E-01, 2.095E-01, 1.961E-01, 1.911E-01, 1.881E-01, 1.844E-01, 1.795E-01, 1.797E-01, 1.778E-01, 1.722E-01, 1.594E-01, 1.500E-01, 1.393E-01, 1.301E-01, 1.138E-01, 1.009E-01, 2.826E+02, 2.378E+02, 1.543E+02, 1.201E+02, 8.777E+01, 7.333E+01, 5.817E+01, 5.105E+01, 4.345E+01, 3.982E+01, 3.569E+01, 3.364E+01, 3.121E+01, 3.001E+01, 2.875E+01, 2.796E+01, 2.700E+01, 2.639E+01, 2.585E+01, 2.519E+01, 2.482E+01, 2.433E+01, 2.404E+01, 2.365E+01, 2.348E+01, 2.329E+01, 2.318E+01, 2.306E+01, 2.297E+01, 2.281E+01, 2.265E+01, 2.240E+01, 2.226E+01, 2.215E+01, 2.206E+01, 2.201E+01, 2.194E+01, 2.190E+01, 2.182E+01, 2.175E+01, 2.166E+01, 2.162E+01, 2.153E+01, 2.146E+01, 2.135E+01, 2.128E+01, 2.120E+01, 2.114E+01, 2.105E+01, 2.097E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
