s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_MMA
 0.000E+00, 0.000E+00, 0.000E+00,-1.051E-03, 4.206E-10, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.051E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.011E+00, 1.156E+00, 0.000E+00,-3.471E-01, 1.564E-02,-3.555E-02, 2.675E-04, 0.000E+00, 0.000E+00, 7.836E-01, 7.888E-01, 0.000E+00, 2.468E-05, 0.000E+00, 0.000E+00, 1.328E-13
 4.004E+00, 3.290E+00, 0.000E+00,-9.555E-01, 3.980E-02,-1.660E-01, 2.961E-03, 0.000E+00, 0.000E+00, 2.204E+00, 2.211E+00, 0.000E+00, 7.342E-05, 0.000E+00, 0.000E+00, 1.351E-13
 6.003E+00, 5.504E+00, 0.000E+00,-1.606E+00,-1.455E-01,-4.021E-01, 1.040E-02, 0.000E+00, 0.000E+00, 3.358E+00, 3.361E+00, 0.000E+00, 1.220E-04, 0.000E+00, 0.000E+00, 1.465E-13
 8.001E+00, 7.716E+00, 0.000E+00,-2.244E+00,-8.990E-01,-6.687E-01, 2.323E-02, 0.000E+00, 0.000E+00, 3.931E+00, 3.928E+00, 0.000E+00, 1.707E-04, 0.000E+00, 0.000E+00, 5.868E-13
 1.000E+01, 9.948E+00, 0.000E+00,-2.915E+00,-3.189E+00,-8.828E-01, 4.106E-02, 0.000E+00, 0.000E+00, 3.012E+00, 3.002E+00, 0.000E+00, 2.194E-04, 0.000E+00, 0.000E+00, 1.963E-11
 1.200E+01, 1.216E+01, 0.000E+00,-3.512E+00,-5.547E+00,-1.107E+00, 6.350E-02, 0.000E+00, 0.000E+00, 2.075E+00, 2.058E+00, 0.000E+00, 2.681E-04, 0.000E+00, 0.000E+00, 9.050E-10
 1.400E+01, 1.437E+01, 0.000E+00,-4.208E+00,-6.975E+00,-1.341E+00, 9.015E-02, 0.000E+00, 0.000E+00, 1.969E+00, 1.941E+00, 0.000E+00, 3.169E-04, 0.000E+00, 0.000E+00, 3.248E-08
 1.600E+01, 1.662E+01, 0.000E+00,-4.827E+00,-8.666E+00,-1.507E+00, 1.204E-01, 0.000E+00, 0.000E+00, 1.767E+00, 1.743E+00, 0.000E+00, 3.656E-04, 0.000E+00, 0.000E+00, 5.557E-07
 1.800E+01, 1.892E+01, 0.000E+00,-5.490E+00,-1.039E+01,-1.781E+00, 1.532E-01, 0.000E+00, 0.000E+00, 1.440E+00, 1.406E+00, 0.000E+00, 4.143E-04, 0.000E+00, 0.000E+00, 5.829E-06
 2.000E+01, 2.150E+01, 0.000E+00,-6.252E+00,-1.150E+01,-2.006E+00, 1.894E-01, 0.000E+00, 0.000E+00, 1.966E+00, 1.933E+00, 0.000E+00, 4.631E-04, 0.000E+00, 0.000E+00, 2.143E-05
