s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00,-4.711E-04, 8.380E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.711E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.035E+00, 1.197E+00, 0.000E+00,-3.926E-01, 1.251E-02,-2.870E-02, 1.694E-04, 0.000E+00, 0.000E+00, 7.711E-01, 7.879E-01, 0.000E+00, 2.522E-05, 0.000E+00
 4.002E+00, 3.294E+00, 0.000E+00,-9.399E-01, 1.722E-02,-1.424E-01, 2.262E-03, 0.000E+00, 0.000E+00, 2.216E+00, 2.231E+00, 0.000E+00, 7.386E-05, 0.000E+00
 6.011E+00, 5.466E+00, 0.000E+00,-1.567E+00,-6.117E-01,-2.853E-01, 7.668E-03, 0.000E+00, 0.000E+00, 3.017E+00, 3.009E+00, 0.000E+00, 1.222E-04, 0.000E+00
 8.009E+00, 7.703E+00, 0.000E+00,-2.295E+00,-3.274E+00,-5.059E-01, 1.851E-02, 0.000E+00, 0.000E+00, 1.673E+00, 1.646E+00, 0.000E+00, 1.710E-04, 0.000E+00
 1.000E+01, 9.923E+00, 0.000E+00,-2.852E+00,-5.001E+00,-7.123E-01, 3.405E-02, 0.000E+00, 0.000E+00, 1.379E+00, 1.392E+00, 0.000E+00, 2.196E-04, 0.000E+00
 1.201E+01, 1.215E+01, 0.000E+00,-3.559E+00,-6.247E+00,-8.298E-01, 5.369E-02, 0.000E+00, 0.000E+00, 1.550E+00, 1.565E+00, 0.000E+00, 2.683E-04, 0.000E+00
 1.400E+01, 1.435E+01, 0.000E+00,-4.140E+00,-8.602E+00,-1.022E+00, 7.629E-02, 0.000E+00, 0.000E+00, 6.655E-01, 6.602E-01, 0.000E+00, 3.170E-04, 0.000E+00
 1.600E+01, 1.659E+01, 0.000E+00,-4.781E+00,-1.025E+01,-1.116E+00, 1.019E-01, 0.000E+00, 0.000E+00, 5.641E-01, 5.523E-01, 0.000E+00, 3.657E-04, 0.000E+00
