s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_MMA
 0.000E+00, 0.000E+00, 0.000E+00,-1.072E-03, 2.088E-10, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.072E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.004E+00, 1.093E+00, 0.000E+00,-3.093E-01, 1.379E-02,-6.274E-02, 3.584E-04, 0.000E+00, 0.000E+00, 7.314E-01, 7.350E-01, 0.000E+00, 2.451E-05, 0.000E+00, 0.000E+00, 1.333E-13
 4.002E+00, 3.305E+00, 0.000E+00,-9.639E-01, 4.024E-02,-2.860E-01, 4.433E-03, 0.000E+00, 0.000E+00, 2.096E+00, 2.100E+00, 0.000E+00, 7.323E-05, 0.000E+00, 0.000E+00, 1.351E-13
 6.001E+00, 5.530E+00, 0.000E+00,-1.582E+00,-1.381E-02,-5.619E-01, 1.551E-02, 0.000E+00, 0.000E+00, 3.383E+00, 3.388E+00, 0.000E+00, 1.219E-04, 0.000E+00, 0.000E+00, 1.450E-13
 8.000E+00, 7.753E+00, 0.000E+00,-2.241E+00,-8.751E-01,-8.126E-01, 3.379E-02, 0.000E+00, 0.000E+00, 3.862E+00, 3.858E+00, 0.000E+00, 1.706E-04, 0.000E+00, 0.000E+00, 3.091E-13
 1.000E+01, 9.972E+00, 0.000E+00,-2.890E+00,-3.147E+00,-1.206E+00, 6.136E-02, 0.000E+00, 0.000E+00, 2.799E+00, 2.791E+00, 0.000E+00, 2.193E-04, 0.000E+00, 0.000E+00, 9.425E-12
 1.200E+01, 1.219E+01, 0.000E+00,-3.544E+00,-4.970E+00,-1.592E+00, 9.561E-02, 0.000E+00, 0.000E+00, 2.186E+00, 2.183E+00, 0.000E+00, 2.681E-04, 0.000E+00, 0.000E+00, 6.169E-10
 1.400E+01, 1.437E+01, 0.000E+00,-4.158E+00,-7.332E+00,-1.994E+00, 1.372E-01, 0.000E+00, 0.000E+00, 1.014E+00, 1.019E+00, 0.000E+00, 3.168E-04, 0.000E+00, 0.000E+00, 2.662E-08
 1.600E+01, 1.664E+01, 0.000E+00,-4.813E+00,-7.776E+00,-2.368E+00, 1.811E-01, 0.000E+00, 0.000E+00, 1.877E+00, 1.863E+00, 0.000E+00, 3.656E-04, 0.000E+00, 0.000E+00, 4.699E-07
 1.800E+01, 1.878E+01, 0.000E+00,-5.432E+00,-9.044E+00,-2.702E+00, 2.251E-01, 0.000E+00, 0.000E+00, 1.856E+00, 1.826E+00, 0.000E+00, 4.143E-04, 0.000E+00, 0.000E+00, 3.782E-06
 2.000E+01, 2.130E+01, 0.000E+00,-6.140E+00,-1.076E+01,-2.971E+00, 2.714E-01, 0.000E+00, 0.000E+00, 1.725E+00, 1.704E+00, 0.000E+00, 4.630E-04, 0.000E+00, 0.000E+00, 1.474E-05
 2.200E+01, 2.380E+01, 0.000E+00,-6.875E+00,-1.210E+01,-3.250E+00, 3.190E-01, 0.000E+00, 0.000E+00, 1.928E+00, 1.895E+00, 0.000E+00, 5.177E-04, 0.000E+00, 0.000E+00, 2.913E-05
 2.400E+01, 2.749E+01, 0.000E+00,-7.990E+00,-1.382E+01,-3.632E+00, 3.752E-01, 0.000E+00, 0.000E+00, 2.478E+00, 2.424E+00, 0.000E+00, 5.783E-04, 0.000E+00, 0.000E+00, 5.131E-05
 2.600E+01, 3.038E+01, 0.000E+00,-8.837E+00,-1.691E+01,-3.883E+00, 4.251E-01, 0.000E+00, 0.000E+00, 1.253E+00, 1.177E+00, 0.000E+00, 6.389E-04, 0.000E+00, 0.000E+00, 6.781E-05
 2.800E+01, 3.341E+01, 0.000E+00,-9.766E+00,-1.777E+01,-4.121E+00, 4.709E-01, 0.000E+00, 0.000E+00, 2.272E+00, 2.223E+00, 0.000E+00, 6.994E-04, 0.000E+00, 0.000E+00, 7.804E-05
 3.000E+01, 3.647E+01, 0.000E+00,-1.075E+01,-1.930E+01,-4.466E+00, 5.182E-01, 0.000E+00, 0.000E+00, 2.526E+00, 2.470E+00, 0.000E+00, 7.600E-04, 0.000E+00, 0.000E+00, 1.027E-04
 3.200E+01, 4.064E+01, 0.000E+00,-1.200E+01,-2.407E+01,-4.850E+00, 5.774E-01, 0.000E+00, 0.000E+00, 3.803E-01, 2.952E-01, 0.000E+00, 8.206E-04, 0.000E+00, 0.000E+00, 1.364E-04
 3.400E+01, 4.370E+01, 0.000E+00,-1.300E+01,-2.326E+01,-4.988E+00, 6.134E-01, 0.000E+00, 0.000E+00, 3.150E+00, 3.063E+00, 0.000E+00, 8.812E-04, 0.000E+00, 0.000E+00, 1.523E-04
 3.600E+01, 4.830E+01, 0.000E+00,-1.434E+01,-2.665E+01,-5.288E+00, 6.973E-01, 0.000E+00, 0.000E+00, 2.793E+00, 2.717E+00, 0.000E+00, 9.418E-04, 0.000E+00, 0.000E+00, 1.742E-04
 3.800E+01, 5.039E+01, 0.000E+00,-1.505E+01,-2.993E+01,-5.464E+00, 7.471E-01, 0.000E+00, 0.000E+00, 7.903E-01, 6.902E-01, 0.000E+00, 1.002E-03, 0.000E+00, 0.000E+00, 2.273E-04
 4.000E+01, 5.589E+01, 0.000E+00,-1.673E+01,-3.280E+01,-5.612E+00, 7.972E-01, 0.000E+00, 0.000E+00, 1.621E+00, 1.545E+00, 0.000E+00, 1.063E-03, 0.000E+00, 0.000E+00, 3.187E-04
 4.200E+01, 6.173E+01, 0.000E+00,-1.863E+01,-3.488E+01,-6.191E+00, 8.614E-01, 0.000E+00, 0.000E+00, 2.973E+00, 2.894E+00, 0.000E+00, 1.103E-03, 0.000E+00, 0.000E+00, 4.743E-04
