s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_MMA
 0.000E+00, 0.000E+00, 0.000E+00,-3.224E-04, 8.309E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.224E-04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.011E+00, 1.150E+00, 0.000E+00,-3.678E-01, 1.370E-02,-2.669E-02, 1.675E-04, 0.000E+00, 0.000E+00, 7.526E-01, 7.689E-01, 0.000E+00, 2.486E-05, 0.000E+00, 0.000E+00, 1.319E-13
 4.008E+00, 3.284E+00, 0.000E+00,-9.587E-01, 3.718E-02,-1.537E-01, 2.257E-03, 0.000E+00, 0.000E+00, 2.188E+00, 2.211E+00, 0.000E+00, 7.356E-05, 0.000E+00, 0.000E+00, 1.351E-13
 6.000E+00, 5.479E+00, 0.000E+00,-1.585E+00, 1.076E-02,-4.052E-01, 7.785E-03, 0.000E+00, 0.000E+00, 3.495E+00, 3.507E+00, 0.000E+00, 1.221E-04, 0.000E+00, 0.000E+00, 1.427E-13
 8.008E+00, 7.690E+00, 0.000E+00,-2.259E+00,-9.634E-01,-6.049E-01, 1.797E-02, 0.000E+00, 0.000E+00, 3.878E+00, 3.881E+00, 0.000E+00, 1.708E-04, 0.000E+00, 0.000E+00, 2.034E-13
 1.000E+01, 9.913E+00, 0.000E+00,-2.885E+00,-3.607E+00,-7.664E-01, 3.245E-02, 0.000E+00, 0.000E+00, 2.689E+00, 2.687E+00, 0.000E+00, 2.196E-04, 0.000E+00, 0.000E+00, 1.116E-12
 1.201E+01, 1.215E+01, 0.000E+00,-3.559E+00,-5.851E+00,-9.201E-01, 5.073E-02, 0.000E+00, 0.000E+00, 1.869E+00, 1.867E+00, 0.000E+00, 2.683E-04, 0.000E+00, 0.000E+00, 1.718E-11
 1.400E+01, 1.436E+01, 0.000E+00,-4.198E+00,-7.482E+00,-1.133E+00, 7.351E-02, 0.000E+00, 0.000E+00, 1.636E+00, 1.618E+00, 0.000E+00, 3.170E-04, 0.000E+00, 0.000E+00, 3.180E-10
 1.601E+01, 1.656E+01, 0.000E+00,-4.848E+00,-8.372E+00,-1.250E+00, 9.873E-02, 0.000E+00, 0.000E+00, 2.206E+00, 2.189E+00, 0.000E+00, 3.657E-04, 0.000E+00, 0.000E+00, 5.380E-09
 1.800E+01, 1.885E+01, 0.000E+00,-5.545E+00,-1.073E+01,-1.436E+00, 1.264E-01, 0.000E+00, 0.000E+00, 1.294E+00, 1.270E+00, 0.000E+00, 4.145E-04, 0.000E+00, 0.000E+00, 7.991E-08
 2.000E+01, 2.102E+01, 0.000E+00,-6.206E+00,-1.209E+01,-1.686E+00, 1.554E-01, 0.000E+00, 0.000E+00, 1.260E+00, 1.192E+00, 0.000E+00, 4.631E-04, 0.000E+00, 0.000E+00, 8.128E-07
 2.200E+01, 2.367E+01, 0.000E+00,-6.980E+00,-1.333E+01,-1.771E+00, 1.905E-01, 0.000E+00, 0.000E+00, 1.804E+00, 1.782E+00, 0.000E+00, 5.178E-04, 0.000E+00, 0.000E+00, 6.693E-06
 2.400E+01, 2.684E+01, 0.000E+00,-7.872E+00,-1.549E+01,-2.028E+00, 2.328E-01, 0.000E+00, 0.000E+00, 1.719E+00, 1.677E+00, 0.000E+00, 5.784E-04, 0.000E+00, 0.000E+00, 2.744E-05
 2.600E+01, 3.013E+01, 0.000E+00,-8.828E+00,-1.730E+01,-2.215E+00, 2.818E-01, 0.000E+00, 0.000E+00, 2.096E+00, 2.071E+00, 0.000E+00, 6.390E-04, 0.000E+00, 0.000E+00, 4.536E-05
 2.800E+01, 3.330E+01, 0.000E+00,-9.747E+00,-1.925E+01,-2.495E+00, 3.248E-01, 0.000E+00, 0.000E+00, 2.158E+00, 2.132E+00, 0.000E+00, 6.995E-04, 0.000E+00, 0.000E+00, 6.371E-05
 3.000E+01, 3.682E+01, 0.000E+00,-1.077E+01,-2.217E+01,-2.705E+00, 3.755E-01, 0.000E+00, 0.000E+00, 1.569E+00, 1.552E+00, 0.000E+00, 7.602E-04, 0.000E+00, 0.000E+00, 9.397E-05
 3.200E+01, 4.007E+01, 0.000E+00,-1.171E+01,-2.522E+01,-2.925E+00, 4.182E-01, 0.000E+00, 0.000E+00, 6.689E-01, 6.356E-01, 0.000E+00, 8.208E-04, 0.000E+00, 0.000E+00, 1.068E-04
 3.400E+01, 4.244E+01, 0.000E+00,-1.253E+01,-2.512E+01,-2.934E+00, 4.716E-01, 0.000E+00, 0.000E+00, 2.440E+00, 2.339E+00, 0.000E+00, 8.814E-04, 0.000E+00, 0.000E+00, 1.185E-04
 3.600E+01, 4.705E+01, 0.000E+00,-1.381E+01,-2.909E+01,-3.374E+00, 5.229E-01, 0.000E+00, 0.000E+00, 1.421E+00, 1.310E+00, 0.000E+00, 9.419E-04, 0.000E+00, 0.000E+00, 1.555E-04
 3.800E+01, 5.002E+01, 0.000E+00,-1.476E+01,-3.031E+01,-3.333E+00, 5.844E-01, 0.000E+00, 0.000E+00, 2.289E+00, 2.202E+00, 0.000E+00, 1.002E-03, 0.000E+00, 0.000E+00, 2.165E-04
 4.000E+01, 5.596E+01, 0.000E+00,-1.665E+01,-3.603E+01,-3.407E+00, 6.515E-01, 0.000E+00, 0.000E+00, 5.888E-01, 5.280E-01, 0.000E+00, 1.063E-03, 0.000E+00, 0.000E+00, 3.108E-04
 4.200E+01, 6.129E+01, 0.000E+00,-1.829E+01,-3.657E+01,-3.758E+00, 6.954E-01, 0.000E+00, 0.000E+00, 3.489E+00, 3.373E+00, 0.000E+00, 1.103E-03, 0.000E+00, 0.000E+00, 4.013E-04
 4.400E+01, 6.393E+01, 0.000E+00,-1.931E+01,-4.005E+01,-3.987E+00, 7.467E-01, 0.000E+00, 0.000E+00, 1.461E+00, 1.330E+00, 0.000E+00, 1.123E-03, 0.000E+00, 0.000E+00, 5.122E-04
 4.600E+01, 6.657E+01, 0.000E+00,-2.022E+01,-4.072E+01,-4.159E+00, 7.676E-01, 0.000E+00, 0.000E+00, 2.359E+00, 2.238E+00, 0.000E+00, 1.143E-03, 0.000E+00, 0.000E+00, 6.276E-04
 4.800E+01, 7.179E+01, 0.000E+00,-2.188E+01,-4.516E+01,-4.004E+00, 7.887E-01, 0.000E+00, 0.000E+00, 1.542E+00, 1.537E+00, 0.000E+00, 1.162E-03, 0.000E+00, 0.000E+00, 7.084E-04
 5.000E+01, 7.452E+01, 0.000E+00,-2.290E+01,-4.861E+01,-4.495E+00, 8.690E-01, 0.000E+00, 0.000E+00,-4.618E-01,-6.174E-01, 0.000E+00, 1.182E-03, 0.000E+00, 0.000E+00, 8.742E-04
 5.200E+01, 8.137E+01, 0.000E+00,-2.524E+01,-4.792E+01,-4.526E+00, 8.920E-01, 0.000E+00, 0.000E+00, 4.687E+00, 4.568E+00, 0.000E+00, 1.202E-03, 0.000E+00, 0.000E+00, 1.054E-03
 5.400E+01, 8.555E+01, 0.000E+00,-2.651E+01,-5.576E+01,-4.758E+00, 9.503E-01, 0.000E+00, 0.000E+00,-4.684E-01,-5.247E-01, 0.000E+00, 1.222E-03, 0.000E+00, 0.000E+00, 1.195E-03
 5.600E+01, 9.229E+01, 0.000E+00,-2.888E+01,-6.255E+01,-4.797E+00, 1.007E+00, 0.000E+00, 0.000E+00,-2.671E+00,-2.927E+00, 0.000E+00, 1.241E-03, 0.000E+00, 0.000E+00, 1.429E-03
 5.800E+01, 9.652E+01, 0.000E+00,-3.055E+01,-5.646E+01,-4.958E+00, 1.006E+00, 0.000E+00, 0.000E+00, 5.827E+00, 5.554E+00, 0.000E+00, 1.261E-03, 0.000E+00, 0.000E+00, 1.491E-03
 6.000E+01, 9.908E+01, 0.000E+00,-3.183E+01,-6.281E+01,-4.969E+00, 1.046E+00, 0.000E+00, 0.000E+00, 7.239E-01, 5.119E-01, 0.000E+00, 1.281E-03, 0.000E+00, 0.000E+00, 1.669E-03
 6.200E+01, 9.971E+01, 0.000E+00,-3.140E+01,-6.535E+01,-5.152E+00, 1.026E+00, 0.000E+00, 0.000E+00,-1.015E+00,-1.166E+00, 0.000E+00, 1.295E-03, 0.000E+00, 0.000E+00, 1.593E-03
