,z,T_CL,T_rms,w_CL,X_O2,X_N2,X_CH4,X_CO2,X_H2O,X_CO,X_H2,X_C2H2,X_C2H6,X_C2H4
0,cm,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
1,0.0,300.0,3.075499959356202e-05,0.0097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3,445.47,170.87422274878094,0.055344,0.0041124,0.082106,0.8752,0.0055082,0.018501,0.0058665,0.0074815,0.00096495,4.1882e-05,0.00013864
3,0.6,590.95,241.65057417684736,0.10099,0.0082247,0.16421,0.7504,0.011016,0.037001,0.011733,0.014963,0.0019299,8.3765e-05,0.00027728
4,0.8999999999999999,736.42,295.9611460986053,0.14663,0.012337,0.24632,0.6256,0.016525,0.055502,0.017599,0.022444,0.0028949,0.00012565,0.00041592
5,1.2,820.67,318.5278637733283,0.20283,0.012888,0.28847,0.55963,0.019852,0.066605,0.021132,0.02702,0.0034876,0.00014581,0.00049193
6,1.5,874.31,328.1158332052874,0.2643,0.011659,0.31064,0.52308,0.02209,0.074008,0.023497,0.030143,0.0038942,0.00015512,0.00053662
7,1.7999999999999998,927.95,337.4314745248285,0.32577,0.01043,0.33281,0.48653,0.024328,0.081411,0.025862,0.033266,0.0043009,0.00016443,0.00058132
8,2.1,971.46,342.28642976314444,0.38395,0.0097053,0.35187,0.45538,0.026129,0.087422,0.027826,0.035912,0.0046532,0.00016865,0.00061378
9,2.4,994.72,338.58529206095176,0.43553,0.0099903,0.36469,0.43501,0.027058,0.090648,0.028989,0.037606,0.0048968,0.00016268,0.00062177
10,2.7,1018.0,334.8432469081615,0.48711,0.010275,0.37751,0.41465,0.027988,0.093873,0.030151,0.039299,0.0051404,0.0001567,0.00062976
11,3.0,1041.2,331.058907144937,0.53869,0.01056,0.39033,0.39428,0.028917,0.097099,0.031314,0.040992,0.005384,0.00015073,0.00063774
12,3.3000000000000003,1057.8,328.9072817679779,0.60946,0.010775,0.39918,0.38039,0.029571,0.099316,0.032068,0.042028,0.0055272,0.00014793,0.00064301
13,3.5999999999999996,1074.4,326.75679028904665,0.68022,0.01099,0.40804,0.3665,0.030226,0.10153,0.032822,0.043063,0.0056704,0.00014513,0.00064828
14,3.9,1091.0,324.57664734234964,0.75098,0.011204,0.4169,0.35262,0.030881,0.10375,0.033577,0.044099,0.0058136,0.00014233,0.00065355
15,4.2,1105.8,322.9705868960825,0.81634,0.01134,0.42436,0.34097,0.031465,0.10566,0.034189,0.044926,0.0059277,0.00013957,0.0006566
16,4.5,1119.6,321.6519858480591,0.87899,0.011436,0.43111,0.33044,0.032015,0.10741,0.034731,0.04565,0.0060274,0.00013685,0.00065855
17,4.8,1133.5,320.3123475609393,0.94163,0.011532,0.43787,0.31992,0.032565,0.10917,0.035274,0.046374,0.006127,0.00013412,0.00066049
18,5.1,1146.4,318.99843259803015,1.004,0.011693,0.44434,0.30995,0.033079,0.11078,0.035756,0.047009,0.0062127,0.00013171,0.00066192
19,5.4,1157.5,317.6790833529964,1.066,0.011984,0.45027,0.30109,0.033521,0.1121,0.036119,0.047465,0.0062705,0.00012995,0.00066234
20,5.7,1168.5,316.3542318351376,1.1279,0.012275,0.45619,0.29223,0.033962,0.11342,0.036482,0.047922,0.0063284,0.00012818,0.00066275
21,6.0,1179.5,315.0269829713004,1.1899,0.012565,0.46211,0.28337,0.034404,0.11474,0.036846,0.048378,0.0063862,0.00012641,0.00066317
22,6.3,1189.0,314.1496458696078,1.2483,0.013037,0.46773,0.27538,0.03479,0.11579,0.037066,0.048608,0.00641,0.0001256,0.00066254
23,6.6000000000000005,1198.6,313.2682556532021,1.3067,0.013509,0.47334,0.26738,0.035176,0.11684,0.037286,0.048837,0.0064338,0.00012479,0.00066191
24,6.9,1208.1,312.38437861071094,1.3651,0.013981,0.47895,0.25939,0.035562,0.11789,0.037505,0.049067,0.0064576,0.00012397,0.00066128
25,7.199999999999999,1217.0,312.11696525501463,1.4213,0.014515,0.48436,0.25188,0.03593,0.11881,0.037651,0.049189,0.0064659,0.00012299,0.00065927
26,7.5,1225.8,312.1570117745235,1.4763,0.015081,0.48966,0.2446,0.03629,0.11967,0.03776,0.049258,0.0064666,0.00012192,0.00065656
27,7.8,1234.5,312.1970531571366,1.5313,0.015647,0.49497,0.23733,0.03665,0.12053,0.037869,0.049327,0.0064672,0.00012085,0.00065386
28,8.1,1242.6,312.3475628206502,1.5848,0.016262,0.50018,0.2303,0.036993,0.12131,0.037942,0.049348,0.0064615,0.00011954,0.00065023
29,8.4,1249.8,312.71712457107304,1.6354,0.016977,0.50518,0.22376,0.037301,0.12192,0.037941,0.049276,0.0064432,0.00011776,0.00064476
30,8.7,1257.0,313.0878470972644,1.686,0.017691,0.51018,0.21721,0.037609,0.12254,0.037941,0.049203,0.0064249,0.00011598,0.00063928
31,9.0,1264.2,313.45653606201927,1.7366,0.018405,0.51518,0.21067,0.037917,0.12315,0.037941,0.04913,0.0064065,0.0001142,0.00063381
32,9.3,1269.9,313.4645115479582,1.7825,0.019211,0.51982,0.20488,0.038184,0.12356,0.037848,0.048938,0.0063715,0.00011235,0.0006272
33,9.6,1275.6,313.4724868309817,1.8285,0.020017,0.52445,0.19908,0.03845,0.12398,0.037756,0.048745,0.0063365,0.00011049,0.0006206
34,9.9,1281.4,313.4804619111054,1.8744,0.020822,0.52908,0.19329,0.038717,0.12439,0.037663,0.048552,0.0063015,0.00010864,0.00061399
35,10.2,1286.6,313.5554177493988,1.9178,0.021622,0.53344,0.18795,0.038968,0.12473,0.037538,0.048318,0.006262,0.00010688,0.00060725
36,10.5,1291.5,313.6622387218455,1.96,0.022418,0.53766,0.18282,0.039212,0.12504,0.037396,0.048064,0.0062202,0.00010517,0.00060044
37,10.8,1296.4,313.76902332767014,2.0021,0.023214,0.54189,0.1777,0.039455,0.12535,0.037254,0.047809,0.0061785,0.00010347,0.00059363
38,11.1,1301.3,314.10189429546585,2.0432,0.023977,0.54596,0.17277,0.039696,0.12566,0.03711,0.04755,0.0061366,0.00010178,0.00058669
39,11.4,1306.0,314.8841056642904,2.0822,0.024673,0.54973,0.16823,0.039933,0.12595,0.036961,0.047285,0.0060947,0.00010016,0.00057949
40,11.700000000000001,1310.7,315.66279476682075,2.1211,0.02537,0.55351,0.1637,0.040169,0.12624,0.036812,0.047019,0.0060528,9.8531e-05,0.00057229
41,12.0,1315.5,316.4332473050201,2.1601,0.026066,0.55728,0.15916,0.040405,0.12653,0.036663,0.046753,0.0060108,9.6904e-05,0.0005651
42,12.3,1320.1,317.6003778335284,2.1969,0.026661,0.56066,0.15513,0.040638,0.12682,0.036519,0.046488,0.0059672,9.5388e-05,0.00055761
43,12.6,1324.8,318.74754901018457,2.2336,0.027255,0.56404,0.1511,0.040872,0.1271,0.036374,0.046223,0.0059236,9.3873e-05,0.00055011
44,12.9,1329.4,319.8906063015918,2.2704,0.027849,0.56742,0.14707,0.041105,0.12739,0.03623,0.045958,0.0058799,9.2357e-05,0.00054262
45,13.200000000000001,1333.8,321.2164379355453,2.3053,0.02841,0.57058,0.14335,0.041332,0.12765,0.036076,0.045679,0.0058344,9.0885e-05,0.00053531
46,13.5,1338.1,322.6143208228674,2.3394,0.028953,0.57363,0.13977,0.041557,0.1279,0.035917,0.045393,0.0057879,8.9435e-05,0.0005281
47,13.8,1342.3,324.0061727807049,2.3734,0.029497,0.57669,0.1362,0.041781,0.12815,0.035758,0.045107,0.0057415,8.7985e-05,0.00052088
48,14.099999999999998,1346.4,325.49961597519587,2.4068,0.030031,0.57965,0.13276,0.041999,0.12839,0.035597,0.044818,0.005695,8.6565e-05,0.00051391
49,14.399999999999999,1350.0,327.21552530404176,2.4389,0.030546,0.58241,0.12959,0.042202,0.12859,0.035431,0.044525,0.0056484,8.5203e-05,0.00050743
50,14.7,1353.6,328.9072817679779,2.471,0.03106,0.58517,0.12642,0.042406,0.12879,0.035265,0.044232,0.0056018,8.3841e-05,0.00050095
