,z,T_CL,T_rms,w_CL,X_O2,X_N2,X_CH4,X_CO2,X_H2O,X_CO,X_H2,X_C2H2,X_C2H6,X_C2H4
0,cm,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
1,0.0,300.0,2.697406161481804e-05,0.0097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3,380.26,103.12128781197411,0.065742,0.0015719,0.042717,0.93387,0.0029267,0.010218,0.0034741,0.0045033,0.00057588,2.3364e-05,7.7842e-05
3,0.6,460.52,145.8320952328396,0.12178,0.0031439,0.085433,0.86774,0.0058534,0.020436,0.0069483,0.0090066,0.0011518,4.6727e-05,0.00015568
4,0.8999999999999999,540.77,178.60851043553328,0.17783,0.0047158,0.12815,0.80162,0.00878,0.030654,0.010422,0.01351,0.0017276,7.0091e-05,0.00023353
5,1.2,621.03,206.23772690756655,0.23387,0.0062878,0.17087,0.73549,0.011707,0.040871,0.013897,0.018013,0.0023035,9.3454e-05,0.00031137
6,1.5,701.29,230.58187266131742,0.28991,0.0078597,0.21358,0.66936,0.014633,0.051089,0.017371,0.022516,0.0028794,0.00011682,0.00038921
7,1.7999999999999998,781.55,252.58859831750127,0.34595,0.0094317,0.2563,0.60323,0.01756,0.061307,0.020845,0.02702,0.0034553,0.00014018,0.00046705
8,2.1,846.92,268.4064082692513,0.40639,0.010688,0.29117,0.54937,0.019991,0.069667,0.02363,0.030612,0.0039125,0.00015796,0.00052736
9,2.4,882.53,274.7671741675122,0.47561,0.011313,0.31033,0.52005,0.021431,0.074311,0.025037,0.032381,0.0041326,0.00016455,0.00055261
10,2.7,918.14,280.98398530877165,0.54484,0.011938,0.3295,0.49073,0.022871,0.078954,0.026444,0.034151,0.0043526,0.00017115,0.00057786
11,3.0,953.75,287.06445269311905,0.61406,0.012563,0.34867,0.4614,0.024311,0.083598,0.027851,0.03592,0.0045727,0.00017775,0.00060311
12,3.3000000000000003,989.36,293.0204771001508,0.68328,0.013188,0.36784,0.43208,0.025752,0.088242,0.029258,0.037689,0.0047927,0.00018434,0.00062836
13,3.5999999999999996,1025.0,298.8578257298945,0.7525,0.013813,0.387,0.40275,0.027192,0.092886,0.030665,0.039459,0.0050128,0.00019094,0.00065361
14,3.9,1060.6,304.5833219334243,0.82173,0.014438,0.40617,0.37343,0.028632,0.097529,0.032072,0.041228,0.0052328,0.00019754,0.00067886
15,4.2,1084.3,307.74827375632833,0.88031,0.015116,0.41936,0.35377,0.029609,0.10045,0.032849,0.042196,0.005355,0.00019756,0.00068741
16,4.5,1102.1,309.6594904084162,0.93359,0.01582,0.42957,0.33894,0.030355,0.10251,0.033311,0.042762,0.0054282,0.00019431,0.0006876
