,z,T_CL,T_rms,w_CL,X_O2,X_N2,X_CH4,X_CO2,X_H2O,X_CO,X_H2,X_C2H2,X_C2H6,X_C2H4
0,cm,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
1,0.0,300.0,2.697406161481804e-05,0.0097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3,354.3,96.70005170629435,0.047011,0.0043422,0.0399,0.94247,0.0020442,0.006494,0.001926,0.0024428,0.00030645,8.1867e-06,3.4063e-05
3,0.6,408.6,136.75525584049777,0.084322,0.0086843,0.0798,0.88494,0.0040885,0.012988,0.0038521,0.0048856,0.00061291,1.6373e-05,6.8125e-05
4,0.8999999999999999,462.9,167.4902982264943,0.12163,0.013026,0.1197,0.8274,0.0061327,0.019482,0.0057781,0.0073283,0.00091936,2.456e-05,0.00010219
5,1.2,517.2,193.40113753543437,0.15894,0.017369,0.1596,0.76987,0.0081769,0.025976,0.0077041,0.0097711,0.0012258,3.2747e-05,0.00013625
6,1.5,571.5,216.22673285234646,0.19625,0.021711,0.1995,0.71234,0.010221,0.03247,0.0096302,0.012214,0.0015323,4.0933e-05,0.00017031
7,1.7999999999999998,625.8,236.86494041964082,0.23357,0.026053,0.2394,0.65481,0.012265,0.038964,0.011556,0.014657,0.0018387,4.912e-05,0.00020438
8,2.1,680.1,255.84370228715812,0.27088,0.030395,0.2793,0.59727,0.01431,0.045458,0.013482,0.017099,0.0021452,5.7307e-05,0.00023844
9,2.4,734.41,273.5086835915818,0.30819,0.034737,0.3192,0.53974,0.016354,0.051952,0.015408,0.019542,0.0024516,6.5494e-05,0.0002725
10,2.7,788.71,290.09998276456344,0.3455,0.039079,0.3591,0.48221,0.018398,0.058446,0.017334,0.021985,0.0027581,7.368e-05,0.00030656
11,3.0,843.01,305.7924132479418,0.38281,0.043422,0.399,0.42468,0.020442,0.06494,0.01926,0.024428,0.0030645,8.1867e-05,0.00034063
12,3.3000000000000003,897.31,320.7179446180086,0.42012,0.047764,0.4389,0.36715,0.022487,0.071434,0.021186,0.026871,0.003371,9.0054e-05,0.00037469
13,3.5999999999999996,951.61,334.9776111921512,0.45743,0.052106,0.4788,0.30961,0.024531,0.077928,0.023112,0.029313,0.0036774,9.824e-05,0.00040875
14,3.9,1004.5,348.4967718645325,0.4951,0.056327,0.5176,0.25371,0.026527,0.084241,0.024971,0.031665,0.0039719,0.00010608,0.00044137
15,4.2,1020.4,357.49125863438957,0.5421,0.057409,0.5277,0.24007,0.027268,0.085866,0.025073,0.031656,0.0039556,0.00010487,0.00043632
16,4.5,1036.4,366.251279861245,0.58909,0.058491,0.53781,0.22644,0.028009,0.087491,0.025176,0.031646,0.0039393,0.00010366,0.00043127
