r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
11.1325,496.758,345.22311626,0.660189,-0.0885873,0.51243829,0.43232798,176.90554301,149.24961159,0.27308663
11.8188,479.2,330.06514509,0.585784,-0.09282201,0.47775307,0.42837989,157.68963778,141.39327125,0.25704046
12.505,462.547,313.33049644,0.513079,-0.09818155,0.44000114,0.42218497,137.86577449,132.28342665,0.23569629
13.1912,446.292,295.84455378,0.441435,-0.10384354,0.40097257,0.41460922,118.62555035,122.65987993,0.20984394
13.7237,433.491,281.67800766,0.387559,-0.10839992,0.37294906,0.40848552,105.05154767,115.06138666,0.19205556
13.8775,429.792,277.45017571,0.371992,-0.10971792,0.36445027,0.40669794,101.11679171,112.83841409,0.18660054
14.5638,412.401,258.46469778,0.306907,-0.11670071,0.32867309,0.39636196,84.95039084,102.44557312,0.16500783
15.25,395.625,240.81009115,0.249493,-0.1256264,0.29128886,0.38049859,70.14529694,91.62790109,0.13852094
15.75,381.025,223.90288073,0.206,-0.13353173,0.26004653,0.36281353,58.22516815,81.23499529,0.11250911
15.9562,374.695,215.20989754,0.190675,-0.13632922,0.24984055,0.35324125,53.76815898,76.02101301,0.1019749
16.25,365.679,202.18234344,0.168847,-0.14031693,0.23453699,0.33913906,47.4192384,68.5679293,0.08473748
16.9317,348.7,174.04798189,0.133134,-0.14614144,0.21281424,0.30340432,37.03988868,52.80690919,0.03951576
17.6223,333.232,145.3475146,0.105062,-0.14948504,0.19699518,0.26442265,28.63275945,38.43317503,0.04493894
18.3221,320.556,119.13018089,0.0857076,-0.15040733,0.18212798,0.23158975,21.69693884,27.58932822,0.0543973
19.0312,310.817,94.44109275,0.072268,-0.14996185,0.16471066,0.20479766,15.55545428,19.34131445,0.05700989
19.6989,303.933,70.80127118,0.0635794,-0.14843113,0.14867717,0.18315137,10.52653242,12.96734975,0.0569155
19.7496,303.41,68.67255638,0.062919,-0.148315,0.14738691,0.18140044,10.1214356,12.45723201,0.05690832
20.4775,298.012,42.77230412,0.056919,-0.14514475,0.13334167,0.1609151,5.70333031,6.88270941,0.05139829
