r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,334.262,125.2098239,0.180244,0.11499481,0.28568059,0.31324926,35.77001647,39.2218849,0.09067982
-19.7496,337.193,129.97192004,0.190105,0.11394471,0.29361982,0.31983771,38.16233206,41.56992112,0.09387247
-19.0312,347.49,147.14958376,0.223598,0.1098947,0.31765705,0.34265405,46.74310236,50.42140126,0.10759326
-18.8694,350.188,151.46220651,0.232057,0.10872491,0.32342542,0.34861431,48.98672721,52.80189323,0.111594
-18.3221,359.182,165.02181674,0.261048,0.10469697,0.3428294,0.36745462,56.57433102,60.63802946,0.12353959
-17.6223,371.776,182.26848329,0.302833,0.09919325,0.37085037,0.39089536,67.59433522,71.24790382,0.13917791
-16.9317,384.76,198.01313088,0.351764,0.09312737,0.40090772,0.41330518,79.38499284,81.83985246,0.1549367
-16.25,397.894,213.1375143,0.405045,0.08598116,0.42840518,0.43383725,91.30921561,92.46699222,0.16985838
-16.0119,403.345,219.22180548,0.427536,0.08291677,0.43879608,0.44071694,96.19366894,96.61476399,0.17473483
-15.75,409.305,225.63089327,0.45241,0.0796507,0.44991888,0.4482059,101.51559915,101.12909839,0.18050759
-15.25,420.256,236.979113,0.501513,0.07433137,0.4709363,0.46003698,111.60206699,109.01915449,0.19154845
-14.5638,433.926,252.46286856,0.563551,0.06935327,0.49638695,0.47219649,125.31927226,119.21208008,0.20704874
-13.8775,448.556,270.75302399,0.630985,0.06508933,0.52486189,0.48025508,142.10794297,130.03051467,0.21985366
-13.5769,454.591,278.29480771,0.661413,0.06317614,0.53744302,0.48324292,149.56760197,134.48399558,0.22274555
-13.1912,462.353,287.89633551,0.700436,0.06051666,0.55321876,0.48718409,159.26965467,140.25851495,0.22664874
-12.505,475.035,301.42859851,0.773034,0.05589687,0.57617619,0.49859456,173.67598094,150.29066088,0.23025756
-11.8188,485.995,311.24459835,0.848906,0.05183842,0.59429033,0.51174838,184.96965602,159.27891764,0.23340756
-11.1325,495.807,319.3493385,0.928033,0.04888493,0.61102864,0.52276507,195.13159228,166.94467917,0.23992922
-10.4462,505.53,326.96788833,1.00818,0.04580481,0.62783597,0.53092205,205.28219997,173.59446058,0.25129367
-9.76,515.71,334.30674537,1.08623,0.04083891,0.64469683,0.53860843,215.52649831,180.06043099,0.26307761
-9.07375,525.819,341.07770376,1.16186,0.03524002,0.66315232,0.55104403,226.18647067,187.94883149,0.27496105
-8.3875,537.071,348.79220175,1.23946,0.02999395,0.68823542,0.56500122,240.05114915,197.06801995,0.28753892
-7.69596,550.186,357.85332191,1.32607,0.02526511,0.72327035,0.57579224,258.82469759,206.04916468,0.29740839
-7.00248,564.65,366.17891802,1.42278,0.0218758,0.76536789,0.58458939,280.26158416,214.06431191,0.30851985
-6.30725,582.765,375.82309668,1.52732,0.01981834,0.81280194,0.58770898,305.46974354,220.87460716,0.32719112
-5.61044,606.349,388.46235339,1.64453,0.01543676,0.87061587,0.58571213,338.2014913,227.52711268,0.35440024
-4.91222,634.707,398.97869617,1.77232,0.00828621,0.94237466,0.58496786,375.98741319,233.38971503,0.38177525
-4.21277,668.007,404.01608879,1.90465,0.00175488,1.02030388,0.58569412,412.21918148,236.62984683,0.40003182
-3.51225,709.124,406.15760488,2.04949,0.01184617,1.10249717,0.58438046,447.78760814,237.35056727,0.40921694
-2.81086,757.924,408.71261297,2.20104,0.01848502,1.18303423,0.5786001,483.52101321,236.48116025,0.39993087
-2.24471,800.813,410.8235631,2.31637,0.02161279,1.23253398,0.57281849,506.35399933,235.32733218,0.36914512
-2.10876,810.98,411.35386226,2.34393,0.02237626,1.24418648,0.57138392,511.80091442,235.04098088,0.36153744
-1.94254,821.869,411.95994951,2.37099,0.02261695,1.25361876,0.57028682,516.44072183,234.93533063,0.34941564
-1.40614,856.351,414.12920689,2.45743,0.02418718,1.28434808,0.56662478,531.88605326,234.65587027,0.30771872
-0.703157,884.55,414.69024585,2.52388,0.0277874,1.30931662,0.56598925,542.96082923,234.71022082,0.23977598
-0.0400844,893.968,413.08110584,2.54212,0.02604502,1.31612689,0.56646487,543.66715262,233.99593406,0.1176048
