r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,293.017,0.00225896,0.105835,0.13371335,0.04387152,0.05215242,9.91e-05,0.00011781,0.02980101
-19.7496,293.017,0.0022651,0.108303,0.13773035,0.04540066,0.05398802,0.00010284,0.00012229,0.03074894
-19.0955,293.017,0.00228173,0.108671,0.14734237,0.04924388,0.05897807,0.00011236,0.00013457,0.03332393
-19.0312,293.017,0.00228366,0.108725,0.14828038,0.04966407,0.05958188,0.00011342,0.00013606,0.03365334
-18.3221,293.017,0.00242764,0.115742,0.16592438,0.0558224,0.0638784,0.00013552,0.00015507,0.03457322
-17.6223,293.018,0.03056738,0.119419,0.1858014,0.06226701,0.07330998,0.00190334,0.00224089,0.04038765
-16.9317,293.04,0.52099808,0.109985,0.20141946,0.06963124,0.08661328,0.03627774,0.04512535,0.0449654
-16.25,293.298,4.6975632,0.110573,0.21931559,0.07951516,0.09527954,0.37352747,0.44758168,0.04417573
-15.9913,294.238,15.88499292,0.109404,0.23260661,0.08425266,0.09841736,1.33835284,1.56335905,0.04403551
-15.75,295.093,21.67332462,0.108272,0.24350466,0.08838597,0.10155725,1.91561786,2.20108321,0.04360986
-15.25,305.216,66.86695746,0.10465,0.26645567,0.10189259,0.11125083,6.81324751,7.4390047,0.0348468
-14.5638,336.293,143.2274415,0.111538,0.2887139,0.1387541,0.1216116,19.8733946,17.41811782,0.00569754
-13.8775,393.65,230.92574564,0.139703,0.31108285,0.19657009,0.12801991,45.39309444,29.56309321,0.01469337
-13.622,425.695,265.03886507,0.157558,0.32192363,0.21814811,0.12856195,57.81772877,34.07391416,0.01808364
-13.1912,476.878,312.6813074,0.187706,0.33985832,0.25096932,0.12973085,78.47341536,40.56441174,0.02011798
-12.505,575.435,378.93139221,0.246583,0.37411407,0.28943082,0.13385919,109.67442385,50.72344958,0.0356245
-11.8188,671.066,426.66731771,0.302589,0.403549,0.31588701,0.14698054,134.77866117,62.7117911,0.0497436
-11.1325,745.812,454.78236553,0.341558,0.41831801,0.33269956,0.16868874,151.30589481,76.71666556,0.06007589
-10.4462,787.759,464.41576201,0.354665,0.41636171,0.34006176,0.19346321,157.93004098,89.84736454,0.04577681
-9.76,800.733,459.27551644,0.347071,0.40162114,0.34459106,0.21554418,158.26223795,98.99416508,0.05282874
-9.07375,797.036,445.10111211,0.329838,0.37990511,0.35591291,0.23533317,158.41723236,104.74705483,0.1049174
-8.3875,783.38,426.57472968,0.309199,0.35469527,0.377061,0.25448036,160.84469544,108.55489277,0.15236334
-7.69596,765.851,408.28176545,0.291229,0.32842824,0.40504321,0.27201834,165.37175587,111.06012862,0.19625155
-7.00248,754.221,395.96085665,0.28267,0.30317138,0.43617886,0.28596132,172.70975601,113.22949025,0.23260118
-6.30725,759.495,387.98453577,0.289705,0.28161012,0.46111821,0.2911288,178.90673313,112.95347352,0.25503152
-5.61044,797.13,377.06100302,0.31905,0.26521028,0.47058368,0.28522556,177.43875443,107.54743569,0.25951138
