r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,293.015,0.00200839,0.123288,0.11149335,0.03704443,0.03788353,7.44e-05,7.609e-05,0.02779773
-19.7496,293.015,0.00201085,0.127361,0.11329835,0.03842499,0.03825614,7.727e-05,7.693e-05,0.02857891
-19.0312,293.015,0.00201742,0.137039,0.13202335,0.04132796,0.04582956,8.338e-05,9.246e-05,0.03178248
-18.8694,293.015,0.00201786,0.141724,0.13335135,0.04307911,0.04599513,8.693e-05,9.281e-05,0.03246611
-18.3221,293.014,0.00202021,0.156662,0.13963136,0.04835608,0.04764123,9.769e-05,9.625e-05,0.03449816
-17.6223,293.015,0.00318467,0.157356,0.16752433,0.05411174,0.05515641,0.00017233,0.00017565,0.03813795
-16.9317,293.046,0.12310483,0.20618,0.22477128,0.06982664,0.0712611,0.008596,0.00877259,0.04882719
-16.25,294.052,4.55411901,0.218744,0.28192426,0.08151123,0.09521982,0.37121183,0.43364242,0.06674542
-16.0119,301.954,38.82331774,0.173871,0.28951432,0.07959925,0.11257026,3.09030683,4.37035115,0.06451809
-15.75,309.283,54.03156485,0.128994,0.30072138,0.07851815,0.12936311,4.24245856,6.98969114,0.06334443
-15.25,387.926,180.85961407,0.0734716,0.27819981,0.09449899,0.13886846,17.09105171,25.11569596,0.01697713
-14.5638,545.738,313.31517678,0.0691061,0.27549049,0.14118074,0.1351599,44.23406702,42.34764754,0.0699039
-13.8775,695.497,390.47022934,0.105647,0.28802488,0.18695507,0.14544183,73.00039094,56.79070483,0.10452348
-13.5769,730.407,399.50594489,0.121592,0.29428156,0.19784539,0.15490694,79.04041115,61.88624336,0.11521548
-13.1912,782.064,415.07951046,0.142973,0.30347138,0.21211907,0.16419867,88.04627987,68.15550201,0.12702816
-12.505,806.996,408.77255289,0.160925,0.30425708,0.22102036,0.18993334,90.34705723,77.6395345,0.13538153
-11.8188,793.011,387.3125353,0.16198,0.2917614,0.22548481,0.21910776,87.33309383,84.86318159,0.12947109
-11.1325,760.74,361.98480631,0.153602,0.27258138,0.22807871,0.24716593,82.56102929,89.47031206,0.10461927
-10.4462,728.021,342.44123583,0.140945,0.25385216,0.23098203,0.27096675,79.09777316,92.79018899,0.03058039
-9.76,705.799,333.36916474,0.127568,0.23787139,0.23730992,0.29242182,79.11181113,97.48441742,0.10670881
-9.07375,694.723,332.09486596,0.114274,0.22646806,0.24764733,0.31013144,82.24240683,102.99305896,0.1570036
-8.3875,696.765,334.85668576,0.102589,0.21993176,0.26208758,0.32212235,87.76177868,107.86482338,0.19387857
-7.69596,713.276,336.88425312,0.0952634,0.21808554,0.27975185,0.32585952,94.2439945,109.77694268,0.21896296
-7.00248,746.836,334.10477399,0.0979779,0.22076406,0.29461891,0.31834031,98.43358313,106.35901786,0.22808672
-6.30725,798.924,325.1661114,0.114507,0.22679763,0.30068322,0.29914548,97.77199406,97.27197128,0.21761171
-5.61044,854.481,305.58190391,0.140393,0.23115908,0.2946464,0.27441495,90.03860736,83.85624278,0.19023717
-4.91222,895.167,277.37393533,0.169353,0.22674123,0.27357193,0.25248062,75.88172237,70.03154323,0.15272005
-4.21277,916.046,253.67124394,0.194579,0.20998908,0.24682828,0.23647457,62.61323692,59.98679927,0.11445607
-3.51225,919.946,238.27568067,0.211075,0.18283242,0.22391159,0.22496804,53.35268645,53.60441338,0.08354651
-2.81086,912.851,229.24506538,0.218717,0.15294478,0.20505292,0.21268176,47.00737005,48.75624449,0.06504534
-2.24178,901.71,226.24698893,0.218662,0.12777558,0.19078391,0.20276659,43.16428499,45.87532932,0.05842184
-2.10876,899.131,225.46995365,0.218683,0.12188053,0.18712883,0.20035955,42.19192922,45.17505886,0.05652628
-1.94808,894.602,225.1801501,0.216579,0.11370046,0.18400897,0.1985923,41.43516685,44.71904414,0.05521728
-1.40614,878.668,224.14928061,0.209387,0.08540179,0.17159866,0.19299658,38.46371612,43.26004463,0.04853196
-0.703157,856.088,222.81898483,0.192017,0.04611072,0.16618604,0.19067921,37.0294048,42.48694734,0.01756089
-0.0421941,842.787,222.46415442,0.179533,0.01284898,0.17024218,0.19249426,37.87278272,42.8230727,0.05374598
0.0,841.912,222.45561355,0.178715,0.01080595,0.17050689,0.19260514,37.93021513,42.84609462,0.05564108
0.703157,841.182,225.0617693,0.176843,0.02527616,0.17758153,0.19728188,39.96681347,44.40060886,0.06929293
1.40614,853.813,229.41490797,0.180903,0.06237824,0.18208652,0.20215015,41.77336175,46.37625741,0.0673981
1.95643,870.369,232.39255582,0.186162,0.08984626,0.18958666,0.2083049,44.05852746,48.40850846,0.07116905
2.10876,875.048,233.18855032,0.187652,0.09758138,0.19171307,0.20998933,44.70529214,48.96710816,0.07238254
2.23411,878.981,233.55277776,0.189469,0.10330385,0.19384195,0.2123026,45.27232492,49.58386307,0.07372869
2.81086,897.457,235.4631606,0.198367,0.13102021,0.20561955,0.22321857,48.4158295,52.55975,0.08199311
3.51225,910.829,240.93090296,0.203106,0.1633522,0.22495666,0.23846892,54.19901182,57.45453232,0.0933179
4.21277,909.75,254.37275798,0.195255,0.1905604,0.25026606,0.2518104,63.66086751,64.05370717,0.11362446
4.91222,895.693,274.91089465,0.178565,0.21040517,0.27079291,0.26370256,74.4439211,72.49470557,0.14410763
5.61044,862.112,299.33092055,0.151999,0.21939172,0.28330655,0.28145879,84.80240974,84.24931793,0.18105817
6.30725,812.055,322.75687444,0.121673,0.21927258,0.28797934,0.30134784,92.94731153,97.26208553,0.21094399
7.00248,759.453,336.46396538,0.0997493,0.21594434,0.28414662,0.31559605,95.60509753,106.18669909,0.22446771
7.69596,716.585,337.18392607,0.0904019,0.21200755,0.27563418,0.32424191,92.93941425,109.32915907,0.22207597
8.3875,693.623,334.50112107,0.0936676,0.21150813,0.26555847,0.32518277,88.8296053,108.77400117,0.20507553
9.07375,691.442,334.49065757,0.105974,0.21739284,0.25363675,0.31689568,84.83912266,105.99864438,0.17307428
9.76,704.005,337.15426736,0.121136,0.22928432,0.2415798,0.30041744,81.44966064,101.28702174,0.12476372
10.4462,726.666,345.00869554,0.1359,0.24607673,0.23210364,0.27756381,80.07777429,95.76192887,0.04421971
11.1325,758.765,360.54542016,0.149215,0.26463996,0.22671656,0.25276151,81.74161851,91.13200558,0.09488577
11.8188,791.21,383.29101216,0.158042,0.28319783,0.22355134,0.22476634,85.68521799,86.1509166,0.12591554
12.505,806.066,403.429052,0.159211,0.29645923,0.22054863,0.19355794,88.97572637,78.0868961,0.13489799
13.1912,784.714,410.53258092,0.146573,0.29798433,0.21489183,0.16564081,88.22009893,68.00095105,0.12805699
13.6291,728.653,394.76828647,0.12495,0.29000051,0.19978664,0.15423367,78.86942803,60.88656065,0.1140796
13.8775,702.211,388.74670417,0.113422,0.28629157,0.19172402,0.14561262,74.53208104,56.60642544,0.10493715
14.5638,554.393,315.30065017,0.0761592,0.27660535,0.14431112,0.13464477,45.50139067,42.45358459,0.070463
15.25,393.505,185.37907109,0.0760046,0.27859308,0.09526274,0.1395217,17.65971861,25.86440356,0.01140827
15.75,310.415,56.56757021,0.128649,0.29993489,0.07904284,0.13074865,4.4712612,7.39613318,0.0640214
15.9881,303.281,42.33556425,0.16936,0.28987885,0.07991558,0.11534237,3.38327119,4.8830842,0.06504266
16.25,294.167,6.00565567,0.218189,0.28137281,0.08182096,0.09615371,0.49138853,0.5774661,0.06736537
16.9317,293.05,0.17333638,0.205727,0.22436893,0.06977972,0.07169445,0.01209536,0.01242726,0.04893995
17.6223,293.015,0.00405927,0.157018,0.16727211,0.05392847,0.05547191,0.00021891,0.00022518,0.03794658
18.3221,293.015,0.00204146,0.156278,0.13950312,0.04818952,0.04776743,9.838e-05,9.752e-05,0.03425055
19.0312,293.015,0.00203516,0.136656,0.13185408,0.04120813,0.04585675,8.386e-05,9.333e-05,0.03154404
19.1307,293.015,0.00203388,0.135336,0.12923808,0.04081703,0.04486249,8.302e-05,9.125e-05,0.03110168
19.7496,293.015,0.0020262,0.126984,0.1131611,0.03831305,0.03822711,7.763e-05,7.746e-05,0.02831189
20.4775,293.015,0.00201635,0.115017,0.10793204,0.03422338,0.0370888,6.901e-05,7.478e-05,0.02591907
