r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,293.02,0.00183992,0.107071,0.138547,0.04958357,0.06071978,9.123e-05,0.00011172,0.0337544
-19.7496,293.02,0.00185096,0.109579,0.14275401,0.05138473,0.06292581,9.511e-05,0.00011647,0.03486532
-19.0955,293.02,0.00201285,0.110231,0.15329701,0.0558258,0.06891393,0.00011237,0.00013871,0.03798012
-19.0312,293.02,0.00208856,0.110295,0.15431402,0.05631572,0.06962337,0.00011762,0.00014541,0.03835579
-18.3221,293.02,0.02296243,0.117971,0.17327503,0.06369152,0.0755246,0.00146251,0.00173423,0.03993057
-17.6223,293.048,0.48591666,0.121712,0.19403904,0.0717403,0.08682543,0.0348598,0.04218992,0.04703648
-16.9317,293.411,5.34256493,0.112993,0.21099409,0.07964766,0.10213771,0.4255228,0.54567733,0.05173813
-16.25,295.719,27.12203901,0.116627,0.23086517,0.08853231,0.11278503,2.40117678,3.05896,0.04998578
-15.9913,299.317,48.83646179,0.118242,0.24506616,0.09277403,0.11736915,4.5307552,5.73189412,0.04736031
-15.75,302.821,63.85272116,0.119822,0.25677215,0.09643806,0.12184232,6.15783275,7.77996368,0.04410002
-15.25,320.756,118.47151556,0.125228,0.28043109,0.11489691,0.13427407,13.6120111,15.90765298,0.00169647
-14.5638,360.371,193.34683861,0.142857,0.302452,0.15747603,0.14432088,30.44749254,27.90398643,0.05944786
-13.8775,424.679,279.23216147,0.180383,0.32367758,0.21710988,0.14867438,60.62406107,41.5146671,0.07974082
-13.622,455.524,311.61739361,0.198513,0.33173755,0.23997458,0.15080657,74.78025377,46.99394888,0.08066825
-13.1912,505.558,358.70879554,0.229749,0.34570213,0.27470493,0.15392009,98.53907551,55.21248997,0.08230908
-12.505,591.583,413.50816195,0.277125,0.36695861,0.31320345,0.1638591,129.51218221,67.75707696,0.07848362
-11.8188,679.526,445.03258308,0.317759,0.38864047,0.33008181,0.17452431,146.89715966,77.66900349,0.07660423
-11.1325,762.118,463.7413072,0.35011,0.40566226,0.33785648,0.18901117,156.67800494,87.65228903,0.07017326
-10.4462,821.964,471.28123239,0.366154,0.40918678,0.34621236,0.21246541,163.1633889,100.13096199,0.04140502
-9.76,849.823,468.24032291,0.362755,0.3978807,0.35717223,0.23901761,167.24243908,111.91768495,0.07138745
-9.07375,850.643,458.51172286,0.34579,0.37643005,0.37453304,0.26311397,171.72779063,120.64083864,0.13285522
-8.3875,835.657,444.41534627,0.325512,0.35114545,0.39992374,0.28417878,177.73224861,126.2934117,0.18870601
-7.69596,823.024,432.51127153,0.314488,0.32777801,0.42991511,0.30083291,185.94312997,130.11362461,0.23328273
-7.00248,826.919,427.78616153,0.318203,0.30736468,0.45885074,0.30979074,196.28999604,132.52418976,0.26321789
-6.30725,856.74,421.72028645,0.340973,0.2906437,0.4789739,0.30910684,201.99301168,130.35662611,0.27579483
-5.61044,921.906,406.44925883,0.387284,0.27525506,0.48235049,0.30490736,196.05100118,123.92937169,0.26946067
-4.91222,1013.38,376.18080759,0.446438,0.25809017,0.45980431,0.29828305,172.96955524,112.20835995,0.24228465
-4.21277,1097.21,332.93993452,0.496594,0.23748047,0.41544915,0.28690085,138.31961431,95.52075153,0.20427321
-3.51225,1144.91,292.69694225,0.521254,0.21005506,0.37141621,0.27364861,108.71238855,80.09611046,0.17389781
-2.81086,1157.67,265.89245946,0.523367,0.17740331,0.33879345,0.25985062,90.08262298,69.0923211,0.14938196
-2.24039,1145.55,257.22558193,0.516581,0.14889019,0.32133005,0.25031026,82.65430869,64.38620216,0.12488319
-2.10876,1143.63,254.39948899,0.515379,0.14253313,0.31603418,0.24805334,80.39893272,63.1046432,0.11809035
-1.94987,1135.81,253.8062253,0.512199,0.1329598,0.31314182,0.24637341,79.47734355,62.53110564,0.11124428
-1.40614,1109.49,251.41260907,0.501585,0.10058681,0.30205678,0.24056446,75.94088384,60.48093884,0.0822481
-0.703157,1076.23,252.83591517,0.487795,0.04728577,0.29216074,0.23603289,73.86872894,59.6775922,0.04937803
-0.0,1062.63,257.37132707,0.480453,0.01388425,0.28729863,0.23241548,73.94242842,59.81707978,0.04440211
0.0308389,1063.16,257.39153055,0.480516,0.01565643,0.28740772,0.23234153,73.97631406,59.80274171,0.04673456
0.703157,1074.63,257.9073477,0.481749,0.06288998,0.2900681,0.23077175,74.81069315,59.51772986,0.08319742
