r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,293.618,13.1276045,0.0680423,0.15114866,0.09251659,0.11366456,1.21452124,1.49214338,0.03713691
-19.7496,293.869,16.7635915,0.0682966,0.15377484,0.09589166,0.11801127,1.60748858,1.97829273,0.03880596
-19.0955,295.386,34.72434305,0.069211,0.16090363,0.10582391,0.13152415,3.67466577,4.5670897,0.0446782
-19.0312,295.552,36.19406029,0.0693143,0.16159172,0.10676563,0.13282464,3.86428169,4.80746317,0.04524349
-18.3221,299.116,61.14638174,0.0714768,0.16907541,0.11840608,0.15017097,7.24010342,9.18241121,0.05304592
-17.6223,306.035,91.4480727,0.0761097,0.17623669,0.1317156,0.17048901,12.04513801,15.59089177,0.05922348
-16.9317,317.266,126.76237612,0.0843394,0.18245484,0.14746864,0.19467915,18.6934753,24.67799116,0.06208712
-16.25,332.503,164.07803022,0.0970797,0.18692773,0.16288585,0.21746635,26.72598935,35.68145058,0.06113039
-15.9913,341.531,181.56679212,0.105847,0.18865254,0.16900385,0.22642151,30.68548619,41.11062636,0.0569842
-15.75,350.317,197.15729761,0.114574,0.18990212,0.17458121,0.23484368,34.41996021,46.30114613,0.05237933
-15.25,371.265,229.5567468,0.14214,0.19128899,0.18802074,0.251718,43.16143022,57.78356632,0.01419461
-14.5638,395.118,263.30438659,0.186446,0.19002116,0.21366352,0.27027429,56.25854221,71.16440544,0.0740013
-13.8775,418.407,291.77919734,0.241179,0.18738947,0.25252703,0.28714834,73.68213361,83.7839136,0.1213953
-13.622,427.584,301.9220098,0.263454,0.1869903,0.27017161,0.29178105,81.57075612,88.09512128,0.13587684
-13.1912,442.673,317.60195214,0.301455,0.18605303,0.29732087,0.30022102,94.42968886,95.35078062,0.15778489
-12.505,469.687,343.79208833,0.369625,0.18587049,0.34984711,0.3111794,120.27466836,106.98101744,0.18333386
-11.8188,500.27,370.95956653,0.44818,0.18640616,0.40913323,0.31837319,151.7718857,118.10357933,0.20819615
-11.1325,531.907,396.1678937,0.527281,0.18745235,0.4583743,0.32075195,181.59318143,127.07162602,0.23133086
