r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,334.669,121.35031932,0.194065,0.10488998,0.28974333,0.32531348,35.16044619,39.47689463,0.15168748
-19.7496,337.142,125.23977004,0.202496,0.10363486,0.29751168,0.33219922,37.26029444,41.60455359,0.15477637
-19.0312,345.244,136.9174934,0.230059,0.10060869,0.31895297,0.35187376,43.67024179,48.17767263,0.1596606
-18.8694,347.347,139.95606453,0.23778,0.10007068,0.32411263,0.35669505,45.36152882,49.92163569,0.16051967
-18.3221,354.533,149.94765753,0.264191,0.09819848,0.3409868,0.37279335,51.1301724,55.89948921,0.16400743
-17.6223,365.093,165.82490766,0.30416,0.09593572,0.36473141,0.39317625,60.48155206,65.1984146,0.16970134
-16.9317,376.567,184.15889878,0.347656,0.09425609,0.38845849,0.40980417,71.53808811,75.46908517,0.17445485
-16.25,388.127,202.15439644,0.391366,0.09254913,0.41097688,0.42324688,83.08078414,85.56121723,0.17976218
-16.0119,392.95,208.67055374,0.409729,0.0914137,0.41922786,0.42863544,87.48051004,89.44359452,0.18222095
-15.75,398.153,215.33137254,0.430313,0.09012379,0.42807476,0.43476877,92.17792558,93.61935515,0.18472425
-15.25,407.737,224.38360011,0.474226,0.0866476,0.44278437,0.4457987,99.35355144,100.029917,0.18787964
-14.5638,419.52,233.71563919,0.534449,0.08109061,0.4617142,0.45763988,107.90982875,106.95759713,0.1924693
-13.8775,432.197,243.88808909,0.602062,0.07387504,0.48389358,0.46936892,118.01588136,114.47348818,0.20100498
-13.5769,437.678,248.72635566,0.632519,0.07085136,0.49463825,0.47518862,123.0295697,118.19193251,0.20583421
-13.1912,444.591,254.55333429,0.671355,0.06701963,0.50781099,0.4821736,129.2649803,122.73889745,0.21124926
-12.505,456.676,266.69964379,0.741588,0.05954108,0.53335729,0.49685145,142.24619956,132.51010383,0.22093703
-11.8188,467.91,279.0422907,0.813228,0.05193996,0.55555108,0.50965027,155.02224534,142.21397942,0.2304189
-11.1325,478.291,290.07550741,0.892234,0.04635424,0.57313873,0.51837045,166.25350695,150.36657035,0.24341035
-10.4462,487.792,299.41877029,0.976305,0.04232374,0.59359077,0.52626121,177.73221784,157.57248402,0.25734708
-9.76,497.196,308.47479638,1.05495,0.03942394,0.61916072,0.53459136,190.99547773,164.90796029,0.27068725
-9.07375,506.458,317.36887056,1.12975,0.03766049,0.64611531,0.54246733,205.0568877,172.16224263,0.2861957
-8.3875,514.755,324.84149981,1.20565,0.0373211,0.67450056,0.55005989,219.10577222,178.68227889,0.30447555
-7.69596,523.868,332.72511177,1.28436,0.03845055,0.7091375,0.55242181,235.94785537,183.80460963,0.31462026
-7.00248,535.824,341.78355724,1.36778,0.03960369,0.75226458,0.55172959,257.11166452,188.57210176,0.31994956
-6.30725,551.105,351.6731437,1.45483,0.03638625,0.79876217,0.55704188,280.90320246,195.89667035,0.33660478
-5.61044,570.176,362.36307759,1.54715,0.02974498,0.84972113,0.56771897,307.90756402,205.7203948,0.35380666
-4.91222,595.389,373.17958143,1.65684,0.02171118,0.91608187,0.57731105,341.86305033,215.4406965,0.36709017
-4.21277,627.899,380.04868109,1.78543,0.01409824,0.99279656,0.58076737,377.31102139,220.71987363,0.37526842
-3.51225,669.89,384.03385267,1.93363,0.01004703,1.06540603,0.58250094,409.15198078,223.70007849,0.37344001
-2.81086,716.048,388.88687301,2.08058,0.00688679,1.12696495,0.58182819,438.26187565,226.26534454,0.3620623
-2.24471,747.074,391.92346192,2.16828,0.00318066,1.15910742,0.57552255,454.2813909,225.56078831,0.34472095
-2.10876,754.445,392.66270513,2.18924,0.00239511,1.16667476,0.57411556,458.10966801,225.4337674,0.34042359
-1.94254,762.092,392.93383667,2.2082,0.00095502,1.17202816,0.57277068,460.52952028,225.06098087,0.33295353
-1.40614,786.372,394.07105958,2.26883,0.00373827,1.1897899,0.56875718,468.86176556,224.13074602,0.30776111
-0.703157,817.503,394.57445432,2.34341,0.00980544,1.21344551,0.56476926,478.79459902,222.84352361,0.25064317
-0.0400844,835.699,394.00380709,2.38981,0.01417293,1.22112653,0.55891173,481.12850139,220.21334877,0.13186865
0.0,836.799,393.97969491,2.39263,0.01443347,1.22158913,0.55855184,481.28131233,220.05808423,0.12100893
0.703157,831.986,391.56097865,2.38122,-0.0208063,1.20186522,0.55859314,470.6035206,218.72327795,0.19125747
1.40614,808.551,390.67761646,2.31432,-0.02455427,1.16643903,0.56450981,455.70161819,220.5413451,0.27049344
1.95469,781.47,392.16705624,2.23397,-0.02216044,1.13625701,0.56908873,445.60256799,223.17785108,0.30287679
2.10876,773.968,392.49840764,2.21154,-0.02180891,1.12752384,0.57040186,442.55131008,223.88182111,0.31114548
2.23561,766.46,393.00636127,2.18907,-0.02111448,1.12179321,0.57118608,440.87186651,224.4797636,0.31751863
2.81086,732.999,395.06075482,2.08811,-0.01879258,1.09520774,0.57456704,432.67359758,226.98888733,0.34438586
3.51225,692.379,396.59299036,1.96144,-0.01423949,1.06001887,0.57817584,420.3960526,229.30048467,0.36701052
4.21277,656.223,394.32600726,1.83451,-0.01003647,1.01409566,0.57963042,399.8842911,228.56334791,0.37167895
4.91222,626.001,387.47516049,1.70992,-0.01058729,0.96127311,0.57954717,372.46945419,224.56013196,0.36568384
5.61044,600.5,379.96447202,1.5926,-0.01211304,0.90101887,0.57863996,342.35515836,219.86262581,0.35617879
6.30725,580.607,374.19513626,1.48753,-0.01249351,0.8477476,0.57984584,317.22303017,216.9754937,0.35210533
7.00248,565.256,367.29688264,1.3943,-0.01421644,0.80262756,0.58456823,294.8026007,214.71008998,0.35231724
7.69596,549.094,357.32898007,1.30216,-0.01576764,0.75938199,0.58299918,271.34919039,208.32250118,0.34497727
8.3875,533.282,346.91065132,1.21541,-0.02003876,0.72247007,0.57407594,250.63256205,199.15305678,0.32370579
9.07375,519.622,336.60065359,1.13597,-0.02797263,0.69090303,0.56640237,232.55841223,190.65140831,0.30321967
9.76,507.671,325.52112067,1.06075,-0.03445637,0.66278126,0.56123072,215.74929885,182.69245262,0.2949139
10.4462,498.025,315.17138195,0.988293,-0.03834244,0.63318323,0.5589534,199.56123294,176.16611457,0.28875264
11.1325,489.517,305.10899692,0.913682,-0.04365608,0.60749321,0.5568039,185.35164389,169.88587857,0.27818641
11.8188,479.984,294.76329487,0.837715,-0.04914969,0.58644181,0.54850442,172.86152104,161.67897042,0.26731442
12.505,468.938,283.57609208,0.763398,-0.05389053,0.5668139,0.53572622,160.73487139,151.91914715,0.25898847
13.1912,456.098,270.1120138,0.689296,-0.06030502,0.54817972,0.51914368,148.06992676,140.22694473,0.24897045
13.6291,447.144,261.59759173,0.643436,-0.06508261,0.53376587,0.5060098,139.63186517,132.37094567,0.24340988
13.8775,441.939,256.54941045,0.617275,-0.06786119,0.5253161,0.49844627,134.76953455,127.87609566,0.23994358
14.5638,427.833,243.82719291,0.549601,-0.07515958,0.4980753,0.47820504,121.44430116,116.59939246,0.23379947
15.25,415.287,232.59148738,0.489654,-0.08115414,0.47275152,0.45935143,109.95797928,106.84123328,0.22630232
15.75,405.601,224.05044075,0.444631,-0.08569911,0.45216369,0.44224265,101.3074734,99.08466028,0.21657664
15.9881,400.964,219.35838256,0.424684,-0.08802874,0.44228045,0.43421232,97.01792503,95.2481125,0.21024626
16.25,395.81,213.88080793,0.402831,-0.09068272,0.43128297,0.42510203,92.24315002,90.92116666,0.20326989
16.9317,384.188,199.88021413,0.355522,-0.09626529,0.40692383,0.40323026,81.33602143,80.59775007,0.18513825
17.6223,372.33,184.15835577,0.310858,-0.10081239,0.38203141,0.37805586,70.35427675,69.62214521,0.16787514
18.3221,361.583,168.61553902,0.272307,-0.10481484,0.3580419,0.35639379,60.37142745,60.09353064,0.15580706
19.0312,352.144,153.84147685,0.237121,-0.10820287,0.33282428,0.33940784,51.20217845,52.21500385,0.14625656
19.1307,350.872,151.70761352,0.232507,-0.10856331,0.32914435,0.33692631,49.93370312,51.11428634,0.14444165
19.7496,342.974,137.70185184,0.203869,-0.11087669,0.30506229,0.32047042,42.00764208,44.12936984,0.13185173
20.4775,334.231,120.70791192,0.173449,-0.11326031,0.27607897,0.29707521,33.3249165,35.8593282,0.10916891
