r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,293.017,0.00165047,0.125808,0.11532101,0.04164505,0.0440095,6.873e-05,7.264e-05,0.03186956
-19.7496,293.017,0.00165774,0.130062,0.11723801,0.04322927,0.04450171,7.166e-05,7.377e-05,0.03281825
-19.0312,293.017,0.00167941,0.140209,0.13660601,0.04672398,0.0530739,7.847e-05,8.913e-05,0.03681541
-18.8694,293.017,0.00168391,0.145124,0.13802801,0.04875756,0.05332185,8.21e-05,8.979e-05,0.03764821
-18.3221,293.017,0.00170591,0.160841,0.14471901,0.05488014,0.05545185,9.362e-05,9.46e-05,0.04022068
-17.6223,293.019,0.01423689,0.162355,0.17347101,0.06073171,0.06401156,0.00086463,0.00091133,0.04480288
-16.9317,293.103,0.70516097,0.213023,0.23133501,0.07978233,0.08107326,0.05625938,0.0571697,0.05795296
-16.25,295.48,16.59237777,0.22652,0.28922001,0.09205596,0.10651041,1.52742728,1.76726093,0.07686762
-16.0119,306.648,60.44203835,0.182124,0.29663901,0.08865861,0.12364051,5.3587074,7.47308456,0.07289853
-15.75,317.408,83.98142652,0.137984,0.30776802,0.08604121,0.14065775,7.22586364,11.81263844,0.06969569
-15.25,408.692,216.94768955,0.0867114,0.2828362,0.10095989,0.14914037,21.90301553,32.35565872,0.01919929
-14.5638,576.805,348.85240432,0.0828463,0.27340903,0.14498103,0.14820353,50.57698203,51.70115623,0.07411851
-13.8775,739.21,426.26634866,0.116288,0.27597168,0.19048438,0.16380466,81.19708223,69.82441608,0.10219929
-13.5769,784.923,438.10272768,0.133131,0.27983046,0.20299286,0.17550399,88.93172436,76.8887786,0.11496048
-13.1912,850.616,457.09736381,0.155203,0.28545663,0.21923823,0.18768377,100.21321542,85.78975708,0.12868449
-12.505,895.422,454.81864518,0.179261,0.28647523,0.22819772,0.21598428,103.78857843,98.23367844,0.14180439
-11.8188,884.756,433.64040402,0.183148,0.27899964,0.22750099,0.24304028,98.65362079,105.39208726,0.13090175
-11.1325,846.11,407.83329928,0.172899,0.26513058,0.22693854,0.27109481,92.55309266,110.56148972,0.09004001
-10.4462,804.789,386.85139266,0.156468,0.25010081,0.23047755,0.29900578,89.16056031,115.67080236,0.07245215
-9.76,778.015,378.9722945,0.139545,0.23794999,0.24003833,0.3229726,90.96787679,122.3976659,0.14447065
-9.07375,770.242,381.24795081,0.126042,0.23063783,0.25372367,0.34013822,96.73162872,129.67699785,0.18932454
-8.3875,779.161,384.82203679,0.1182,0.22742532,0.26919194,0.34793962,103.59099024,133.89483482,0.21772409
-7.69596,806.4,383.11486528,0.118199,0.22639283,0.28558029,0.34774705,109.41005296,133.22706488,0.23207889
-7.00248,857.382,374.54906221,0.129352,0.22670245,0.29810669,0.34111329,111.65558204,127.76366473,0.23052388
-6.30725,921.673,356.78284712,0.151204,0.22718184,0.30010498,0.3276286,107.07230978,116.89226605,0.21001969
-5.61044,982.981,326.90365553,0.17923,0.22610519,0.28595909,0.30892533,93.48107119,100.98881886,0.17185362
-4.91222,1016.97,295.05914661,0.204338,0.21803206,0.25956078,0.28807231,76.58578309,84.99836904,0.12885445
-4.21277,1016.26,274.11712825,0.216429,0.19895704,0.23353972,0.26779588,64.0172369,73.40743689,0.0966894
-3.51225,1000.78,267.43933892,0.213951,0.173354,0.217883,0.24886092,58.27048444,66.55519901,0.07604775
-2.81086,980.371,266.03101323,0.205553,0.14581396,0.212482,0.23372094,56.52680155,62.17701883,0.0605499
-2.24178,960.412,264.07574671,0.198085,0.12167133,0.21097843,0.22569155,55.71428774,59.59966474,0.05107896
-2.10876,955.65,263.63516457,0.196301,0.11600176,0.21056258,0.22375523,55.51170037,58.9897475,0.04815911
-1.94808,949.84,262.68878925,0.193951,0.10794217,0.20981945,0.22248735,55.11721628,58.44493206,0.04834811
-1.40614,928.1,260.24450042,0.185339,0.07957448,0.20688306,0.21844075,53.84017827,56.8480031,0.04638815
-0.703157,910.311,259.99173064,0.177111,0.03656352,0.199368,0.21475288,51.83403173,55.83397325,0.03986511
-0.0421941,907.464,264.88620198,0.175291,0.00996746,0.19440833,0.2105757,51.496085,55.77859776,0.02902645
0.0,907.262,265.19370279,0.175167,-0.0115447,0.19408967,0.21031193,51.47135826,55.77339826,0.03162126
0.703157,915.193,267.99253721,0.178498,-0.04838827,0.19310981,0.20862406,51.75198883,55.9096909,0.0627
1.40614,934.397,266.72907603,0.185041,-0.0858854,0.19957029,0.21392974,53.23119862,57.06128098,0.07642624
1.95643,954.817,268.92861506,0.189568,-0.11103477,0.20967069,0.22395452,56.38644941,60.22777948,0.08074732
2.10876,960.589,269.46428335,0.190845,-0.11809504,0.21246388,0.22668394,57.25142697,61.08322624,0.08198128
2.23411,964.126,270.25839487,0.191391,-0.12246618,0.21437864,0.22943963,57.93762633,62.00798506,0.0821467
2.81086,981.64,274.41100561,0.194512,-0.14375701,0.22504444,0.24182262,61.7546711,66.35878859,0.0846579
3.51225,994.858,279.36696297,0.198544,-0.16973708,0.23693649,0.25564561,66.19222746,71.4189388,0.09058635
4.21277,1003.32,289.6991543,0.198879,-0.19690819,0.25072256,0.26885215,72.63411239,77.88624126,0.10693721
4.91222,1000.52,307.39193223,0.189271,-0.21933629,0.26883582,0.28308433,82.63796324,87.01783924,0.14147049
5.61044,977.224,335.30433937,0.17051,-0.23222074,0.28487506,0.30122628,95.51984391,101.00247784,0.18277886
6.30725,927.967,363.72517097,0.145446,-0.23420463,0.29370342,0.32002173,106.82732732,116.39995978,0.21693044
7.00248,863.067,382.11385738,0.122015,-0.23003397,0.2935626,0.33558886,112.17433739,128.23315507,0.23575094
7.69596,806.053,388.27052425,0.110847,-0.22516638,0.28482029,0.34621685,110.58732495,134.42579941,0.23555628
8.3875,771.266,384.66608897,0.112959,-0.22313091,0.27180416,0.34852294,104.55384221,134.0649553,0.21767937
9.07375,758.444,377.03448118,0.122889,-0.22600467,0.25710757,0.34113441,96.93841739,128.61943668,0.18347528
9.76,764.573,371.83598535,0.137528,-0.23464604,0.24349723,0.32301927,90.54103167,120.11018821,0.13195034
10.4462,790.992,378.22083496,0.156134,-0.24798287,0.23420995,0.29811913,88.5830823,112.75486521,0.0419323
11.1325,837.405,403.4476422,0.176349,-0.26428758,0.23005282,0.27084615,92.81426782,109.2722399,0.10725382
11.8188,885.626,436.21554305,0.190687,-0.28069343,0.22980883,0.24073344,100.24618515,105.01166904,0.14328186
12.505,903.879,457.92685005,0.187892,-0.29030935,0.2300915,0.21044407,105.36507744,96.36798944,0.15218208
13.1912,860.427,458.3743012,0.160348,-0.28993138,0.22071158,0.18126072,101.16851464,83.08525762,0.13538138
13.6291,782.183,435.45263807,0.13157,-0.28248255,0.20056495,0.16849577,87.33653748,73.37192689,0.11573713
13.8775,744.008,425.70999518,0.115697,-0.27904362,0.18939879,0.15883994,80.62895612,67.61974803,0.10218113
14.5638,575.054,347.20887085,0.0797205,-0.2756434,0.14087193,0.14573623,48.91198293,50.60091218,0.06753452
15.25,405.661,215.33717747,0.0846988,-0.28525604,0.09792492,0.1488764,21.08687592,32.0586227,0.01796185
15.75,316.411,80.57443763,0.137124,-0.309635,0.08619687,0.1407518,6.94526414,11.34099739,0.07074327
15.9881,306.969,60.32860018,0.177435,-0.299255,0.08876604,0.12512603,5.35513099,7.54867831,0.07302146
16.25,295.232,15.539305,0.22603,-0.29052,0.09255917,0.10601483,1.43830518,1.64739678,0.07663341
16.9317,293.094,0.63624917,0.212243,-0.232074,0.07994135,0.08062026,0.05086262,0.05129457,0.05745762
17.6223,293.018,0.01378927,0.161584,-0.173903,0.06089745,0.06367343,0.00083973,0.00087801,0.04455662
18.3221,293.017,0.00165036,0.160208,-0.145171,0.05477719,0.05513926,9.04e-05,9.1e-05,0.03981991
19.0312,293.017,0.0016205,0.139511,-0.136914,0.04656254,0.05273895,7.545e-05,8.546e-05,0.03646784
19.1307,293.017,0.00161733,0.13813,-0.134186,0.04608308,0.05161205,7.453e-05,8.347e-05,0.03592424
19.7496,293.017,0.00159765,0.129392,-0.117419,0.04300826,0.04409702,6.871e-05,7.045e-05,0.03246886
20.4775,293.017,0.00157493,0.116899,-0.111855,0.03821597,0.04266744,6.019e-05,6.72e-05,0.02957206
