r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,293.06,1.03867223,0.0762725,0.15011741,0.07635051,0.09397029,0.07930315,0.09760433,0.03411543
-19.7496,293.078,1.33803961,0.0764914,0.15318051,0.0792096,0.09734603,0.10598558,0.13025285,0.03514767
-19.0955,293.324,6.33194283,0.0768434,0.1618719,0.08833719,0.1080284,0.55934607,0.68402964,0.03839404
-19.0312,293.35,6.6710344,0.0768755,0.16271894,0.08919994,0.10904339,0.59505589,0.7274322,0.03870723
-18.3221,294.657,22.67216355,0.0769589,0.17277088,0.10024869,0.12308561,2.27285471,2.79061704,0.04306376
-17.6223,298.99,56.88189519,0.0781259,0.18288193,0.11096216,0.13981784,6.31173771,7.95310364,0.04830108
-16.9317,307.865,99.27033797,0.0819439,0.19230913,0.12220638,0.16058216,12.13146892,15.94104495,0.05201086
-16.25,321.016,141.92568478,0.09007,0.20001657,0.13461464,0.18294351,19.10527428,25.9643826,0.0504729
-15.9913,328.492,160.35616608,0.0962093,0.2029762,0.14098404,0.19243666,22.6076604,30.85840496,0.04594126
-15.75,335.51,175.75437406,0.102124,0.20568693,0.14686354,0.20086701,25.81190991,35.30325574,0.04165142
-15.25,352.11,203.03053957,0.121108,0.21048417,0.16112821,0.21681334,32.71394738,44.01973016,0.00067157
-14.5638,374.898,235.03148725,0.155637,0.21470016,0.18538959,0.23256519,43.57239101,54.66014269,0.064246
-13.8775,401.427,270.65679374,0.204783,0.2175693,0.22730134,0.24509548,61.52065239,66.33675649,0.10876559
-13.622,412.595,284.4350541,0.226313,0.21923207,0.24848139,0.24782882,70.67681693,70.49120324,0.12140173
-13.1912,430.81,305.5899213,0.262687,0.22143702,0.28026398,0.25282479,85.64584842,77.2607062,0.14110477
-12.505,466.285,341.99853801,0.330215,0.22895053,0.33648923,0.25730779,115.07882375,87.99888747,0.15830426
-11.8188,506.076,378.94986476,0.405636,0.23767624,0.39154949,0.25959359,148.37762477,98.3729573,0.17085408
